row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Diễn giải,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (số liệu đã trình bày),Điều chỉnh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại),numeric__CHỈ TIÊU,numeric__Diễn giải,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại)
01,01,01,Doanh thu phí bảo hiểm,,39.996.504.593.125,3.288.186.891,39.999.792.780.016,,,39996504593125.0,3288186891.0,39999792780016.0
04,04,04,Giảm dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tái bảo hiểm,,328.257.467.752(4.104.197.442.569),3.288.186.891(1.111.207.236),331.545.654.643(4.105.308.649.805),,,,,
05,05,05,Phí nhượng tái bảo hiểm,,328.257.467.752(4.104.197.442.569),3.288.186.891(1.111.207.236),331.545.654.643(4.105.308.649.805),,,,,
07,05 > 07,07,Giảm dự phòng phí nhượng tái bảo hiểm,,(26.290.933.874),(1.111.207.236),(27.402.141.110),,,-26290933874.0,-1111207236.0,-27402141110.0
08,05 > 08,08,Doanh thu phí bảo hiểm thuần,[6],35.892.307.150.556,2.176.979.655,35.894.484.130.211,,,35892307150556.0,2176979655.0,35894484130211.0
15,05 > 15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm,,36.827.961.500.208,2.176.979.655,36.830.138.479.863,,,36827961500208.0,2176979655.0,36830138479863.0
22,05 > 22,22,Tăng dự phòng nghiệp vụ bảo hiểm gốc,,(20.416.263.781.907),4.985.957.605,(20.411.277.824.302),,,-20416263781907.0,4985957605.0,-20411277824302.0
23,05 > 23,23,Dự phòng toán học,,(18.980.254.654.676),4.985.957.605,(18.975.268.697.071),,,-18980254654676.0,4985957605.0,-18975268697071.0
27,05 > 27,27,Giảm dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,,168.104.328.007,3.095.986.385,171.200.314.392,,,168104328007.0,3095986385.0,171200314392.0
29,05 > 29,29,Tổng chi bồi thường và trả tiền bảo hiểm,,(31.460.812.756.188),8.081.943.990,(31.452.730.812.198),,,-31460812756188.0,8081943990.0,-31452730812198.0
31,05 > 31,31,Chi khác hoạt động bào hiểm gốc,,(4.725.543.333.449),70.560.000,(4.725.472.773.449),,,-4725543333449.0,70560000.0,-4725472773449.0
33,05 > 33,33,Chi khác hoạt động kinh doanh bảo hiểm,,(1.796.727.779.791),70.560.000,(1.796.657.219.791),,,-1796727779791.0,70560000.0,-1796657219791.0
41,05 > 41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm,[7],(36.224.784.437.014),8.152.503.990,(36.216.631.933.024),,,-36224784437014.0,8152503990.0,-36216631933024.0
42,05 > 42,42,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm,,603.177.063.194,10.329.483.645,613.506.546.839,,,603177063194.0,10329483645.0,613506546839.0
47,05 > 47,47,Chi phí quản lý doanh nghiệp,,(3.997.998.677.361),1.587.016.500,(3.996.411.660.861),,,-3997998677361.0,1587016500.0,-3996411660861.0
48.1,05 > 48.1,48.1,Thu nhập khác,,21.094.866.627,9.629.110.768,30.723.977.395,,,21094866627.0,9629110768.0,30723977395.0
48,05 > 48,48,Lợi nhuận khác,[8],19.015.007.398,9.629.110.768,28.644.118.166,,,19015007398.0,9629110768.0,28644118166.0
50,05 > 50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,,2.376.488.714.496,21.545.610.913,2.398.034.325.409,,,2376488714496.0,21545610913.0,2398034325409.0
51,05 > 51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,,(380.484.124.137),(6.550.791.845),(387.034.915.982),,,-380484124137.0,-6550791845.0,-387034915982.0
60,05 > 60,60,LỢI NHUẬN SAU THUẾ THU NHẬP DOANH NGHIỆP,,2.003.419.189.382,14.994.819.068,2.018.414.008.450,,,2003419189382.0,14994819068.0,2018414008450.0
61,05 > 61,61,LỢI NHUẬN SAU THUẾ CỦA CHỦ SỞ HỮU TẬP ĐOÀN,,1.896.699.438.352,14.994.819.068,1.911.694.257.420,,,1896699438352.0,14994819068.0,1911694257420.0
70,05 > 70,70,Lãi cơ bản trên cổ phiếu (*),,2.555,(29),2.526,,,2555.0,-29.0,2526.0
