row_label_raw,row_label_full,"Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2022 > Giá trị sổ sách > Giá trị thị trường > VaR (95%, 1 ngày)",HOSE > 2.318.244 > 3.050.126 > (79.819),HNX > 369.494 > 558.923 > (24.422),Tổng > 2.687.738 > 3.609.049 > (104.241),numeric__HOSE > 2.318.244 > 3.050.126 > (79.819),numeric__HNX > 369.494 > 558.923 > (24.422),numeric__Tổng > 2.687.738 > 3.609.049 > (104.241)
Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),33.798,1.552,35.350,33798.0,1552.0,35350.0
"VaR (95%, 1 tuần)","VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(178.482),(54.610),(233.092),-178482.0,-54610.0,-233092.0
"VaR (95%, 1 tháng)","VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(374.386),(114.551),(488.937),-374386.0,-114551.0,-488937.0
"VaR (95%, 1 năm)","VaR (95%, 1 năm)","VaR (95%, 1 năm)",(1.267.093),(387.694),(1.654.787),-1267093.0,-387694.0,-1654787.0
Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021,HOSE,HNX,Tổng,,,
Giá trị sổ sách,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > Giá trị sổ sách,Giá trị sổ sách,1.790.147,369.850,2.159.997,1790147.0,369850.0,2159997.0
Giá trị thị trường,Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > Giá trị thị trường,Giá trị thị trường,3.222.352,878.582,4.100.934,3222352.0,878582.0,4100934.0
"VaR (95%, 1 ngày)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > VaR (95%, 1 ngày)","VaR (95%, 1 ngày)",(81.600),(38.279),(119.879),-81600.0,-38279.0,-119879.0
Mức độ đa dạng hóa VaR (95%),Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > Mức độ đa dạng hóa VaR (95%),Mức độ đa dạng hóa VaR (95%),35.810,2.301,38.111,35810.0,2301.0,38111.0
"VaR (95%, 1 tuần)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > VaR (95%, 1 tuần)","VaR (95%, 1 tuần)",(182.464),(85.594),(268.058),-182464.0,-85594.0,-268058.0
"VaR (95%, 1 tháng)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > VaR (95%, 1 tháng)","VaR (95%, 1 tháng)",(382.739),(179.544),(562.283),-382739.0,-179544.0,-562283.0
"VaR (95%, 1 năm)","Giá trị rủi ro của danh mục cổ phiếu niêm yết tại ngày 31/12/2021 > VaR (95%, 1 năm)","VaR (95%, 1 năm)",(1.295.365),(607.659),(1.903.024),-1295365.0,-607659.0,-1903024.0
