row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Diễn giải,Ngày 31 tháng 12 năm 2021 (số liệu đã trình bày),Điều chỉnh,Ngày 31 tháng 12 năm 2021 (trình bày lại),numeric__NGUỒN VỐN,numeric__Diễn giải,numeric__Ngày 31 tháng 12 năm 2021 (số liệu đã trình bày),numeric__Điều chỉnh,numeric__Ngày 31 tháng 12 năm 2021 (trình bày lại)
300,300,300,NỘ PHẢI TRẢ,,147.477.392.612.620,(4.114.959.107),147.473.277.653.513,,,147477392612620.0,-4114959107.0,147473277653513.0
310,310,310,Nợ ngắn hạn,[3],21.707.051.775.852,7.255.171.774,21.714.306.947.626,,,21707051775852.0,7255171774.0,21714306947626.0
311,311,311,Phải trả người bán ngắn hạn,,2.427.860.701.125,(7.082.393.326),2.420.778.307.799,,,2427860701125.0,-7082393326.0,2420778307799.0
311.1,311.1,311.1,Phải trả hoạt động bảo hiểm,,2.339.603.934.638,(7.082.393.326),2.332.521.541.312,,,2339603934638.0,-7082393326.0,2332521541312.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,,207.468.643.695,16.954.842.542,224.423.486.237,,,207468643695.0,16954842542.0,224423486237.0
315,315,315,Chi phí phải trả ngắn hạn,,52.323.112.912,(70.560.000),52.252.552.912,,,52323112912.0,-70560000.0,52252552912.0
319,319,319,Phải trả ngắn hạn khác,,1.099.392.948.721,(2.546.717.442),1.096.846.231.279,,,1099392948721.0,-2546717442.0,1096846231279.0
330,330,330,Nợ dài hạn,[4],125.770.340.836.768,(11.370.130.881),125.758.970.705.887,,,125770340836768.0,-11370130881.0,125758970705887.0
344,344,344,Dự phòng nghiệp vụ bảo hiểm,,125.228.692.048.576,(11.370.130.881),125.217.321.917.695,,,125228692048576.0,-11370130881.0,125217321917695.0
344.1,344.1,344.1,Dự phòng toán học,,112.070.973.854.439,(4.985.957.605),112.065.987.896.834,,,112070973854439.0,-4985957605.0,112065987896834.0
344.2,344.2,344.2,Dự phòng phí chưa được hưởng,,4.642.357.944.455,(3.288.186.891),4.639.069.757.564,,,4642357944455.0,-3288186891.0,4639069757564.0
344.3,344.3,344.3,Dự phòng bồi thường,,2.407.649.271.122,(3.095.986.385),2.404.553.284.737,,,2407649271122.0,-3095986385.0,2404553284737.0
400,400,400,VỐN CHỦ SỞ HỮU,,22.026.730.364.385,4.590.768.371,22.031.321.132.756,,,22026730364385.0,4590768371.0,22031321132756.0
410,410,410,Vốn chủ sở hữu,[5],22.026.730.364.385,4.590.768.371,22.031.321.132.756,,,22026730364385.0,4590768371.0,22031321132756.0
421,421,421,Lợi nhuận sau thuế đã thực hiện chưa phân phối,,4.475.440.359.637,4.590.768.371,4.480.031.128.008,,,4475440359637.0,4590768371.0,4480031128008.0
421a,421a,421a,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,2.653.064.465.370,(10.404.050.697),2.642.660.414.673,,,2653064465370.0,-10404050697.0,2642660414673.0
421b,421b,421b,Lợi nhuận sau thuế chưa phân phối năm nay,,1.822.375.894.267,14.994.819.068,1.837.370.713.335,,,1822375894267.0,14994819068.0,1837370713335.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,169.504.122.977.005,475.809.264,169.504.598.786.269,,,169504122977005.0,475809264.0,169504598786269.0
