row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,Tổng Công ty Cổ phần Tái Bảo hiểm Quốc gia Việt Nam,265.979.803.260,236.570.824.000,265.979.803.260,265.979.803.260,265979803260.0,236570824000.0,265979803260.0,265979803260.0
Tổng Công ty Điện lực Dầu khí Việt Nam,Cổ phiếu niêm yết > Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,243.515.713.202,243.253.109.838,170.687.061.328,170.687.061.328,243515713202.0,243253109838.0,170687061328.0,170687061328.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,390.739.014.890,345.295.404.034,287.322.747.396,287.322.747.396,390739014890.0,345295404034.0,287322747396.0,287322747396.0
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,418.000.346.236,382.555.004.400,209.763.212.610,207.395.691.958,418000346236.0,382555004400.0,209763212610.0,207395691958.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,1.075.881.269.035,933.452.387.937,981.865.876.239,975.640.549.174,1075881269035.0,933452387937.0,981865876239.0,975640549174.0
,,,2.394.116.146.623,2.141.126.730.209,1.915.618.700.833,1.907.025.853.116,2394116146623.0,2141126730209.0,1915618700833.0,1907025853116.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
Tổng Công ty MBLand,Cổ phiếu chưa niêm yết > Tổng Công ty MBLand,Tổng Công ty MBLand,28.800.000.000,8.016.000.000,28.800.000.000,5.040.000.000,28800000000.0,8016000000.0,28800000000.0,5040000000.0
Công ty Cổ phần Thủy sản Cà Mau,Cổ phiếu chưa niêm yết > Công ty Cổ phần Thủy sản Cà Mau,Công ty Cổ phần Thủy sản Cà Mau,24.000.000.000,19.324.500.000,24.000.000.000,24.000.000.000,24000000000.0,19324500000.0,24000000000.0,24000000000.0
