row_label_raw,row_label_full,col_0,Cổ phiếu thường VND,Tổng số VND,Cổ phiếu thường VND_1,Tổng số VND_1,numeric__Cổ phiếu thường VND,numeric__Tổng số VND,numeric__Cổ phiếu thường VND_1,numeric__Tổng số VND_1
Số vốn góp của cổ đông,Số vốn góp của cổ đông,Số vốn góp của cổ đông,7.423.227.640.000,7.423.227.640.000,7.423.227.640.000,7.423.227.640.000,7423227640000.0,7423227640000.0,7423227640000.0,7423227640000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,7.310.458.742.807,7.310.458.742.807,7.310.458.742.807,7.310.458.742.807,7310458742807.0,7310458742807.0,7310458742807.0,7310458742807.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.733.686.382.807,14.733.686.382.807,14.733.686.382.807,14.733.686.382.807,14733686382807.0,14733686382807.0,14733686382807.0,14733686382807.0
"25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận","25.3 Các giao dịch về vốn với các chủ sở hữu và phân phối cổ tức, lợi nhuận",,,,
,,,,,Năm 2022 VND,Năm 2021 VND,,,,
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,,,,
Ngày 01 tháng 01,Vốn góp của chủ sở hữu > Ngày 01 tháng 01,Ngày 01 tháng 01,,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
Vốn góp tăng trong năm,Vốn góp tăng trong năm,Vốn góp tăng trong năm,,,-,-,,,,
Ngày 31 tháng 12,Vốn góp tăng trong năm > Ngày 31 tháng 12,Ngày 31 tháng 12,,,7.423.227.640.000,7.423.227.640.000,,,7423227640000.0,7423227640000.0
"Cổ tức, lợi nhuận đã chia","Vốn góp tăng trong năm > Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia",,,2.246.342.913.736,666.977.003.454,,,2246342913736.0,666977003454.0
