row_label_raw,row_label_full,25.,VỐN CHỦ SỞ HỮU (tiếp theo),VỐN CHỦ SỞ HỮU (tiếp theo)_1,VỐN CHỦ SỞ HỮU (tiếp theo)_2,VỐN CHỦ SỞ HỮU (tiếp theo)_3,numeric__VỐN CHỦ SỞ HỮU (tiếp theo),numeric__VỐN CHỦ SỞ HỮU (tiếp theo)_1,numeric__VỐN CHỦ SỞ HỮU (tiếp theo)_2,numeric__VỐN CHỦ SỞ HỮU (tiếp theo)_3
25.4,25.4,25.4,Cổ tức,,,,,,,
,,,,,Kỳ này VND,Kỳ trước VND,,,,
,,,Cổ tức đã công bố và đã trả trong năm,,2.246.342.913.736,666.977.003.454,,,2246342913736.0,666977003454.0
,,,"- Cổ tức trên cổ phiếu phổ thông (cổ tức cho năm 2021: 3.026,1 VND/cổ phiếu, cổ tức cho năm 2020: 898,5 VND/cổ phiếu)",,2.246.342.913.736,666.977.003.454,,,2246342913736.0,666977003454.0
,,,"Thực hiện Nghị quyết Đại hội đồng cổ đông thường niên năm 2022 ngày 29 tháng 06 năm 2022, Tập đoàn Bảo Việt đã chi trả cổ tức bằng tiền ở mức 30,261% (3.026,1 VND/cổ phiếu) tính trên vốn điều lệ 7.423.227.640.000 VND, với số tiền thực tế chi trả là 2.246.342.913.736 VND. Việc chi trả cổ tức đã được thực hiện vào tháng 12 năm 2022.","Thực hiện Nghị quyết Đại hội đồng cổ đông thường niên năm 2022 ngày 29 tháng 06 năm 2022, Tập đoàn Bảo Việt đã chi trả cổ tức bằng tiền ở mức 30,261% (3.026,1 VND/cổ phiếu) tính trên vốn điều lệ 7.423.227.640.000 VND, với số tiền thực tế chi trả là 2.246.342.913.736 VND. Việc chi trả cổ tức đã được thực hiện vào tháng 12 năm 2022.","Thực hiện Nghị quyết Đại hội đồng cổ đông thường niên năm 2022 ngày 29 tháng 06 năm 2022, Tập đoàn Bảo Việt đã chi trả cổ tức bằng tiền ở mức 30,261% (3.026,1 VND/cổ phiếu) tính trên vốn điều lệ 7.423.227.640.000 VND, với số tiền thực tế chi trả là 2.246.342.913.736 VND. Việc chi trả cổ tức đã được thực hiện vào tháng 12 năm 2022.","Thực hiện Nghị quyết Đại hội đồng cổ đông thường niên năm 2022 ngày 29 tháng 06 năm 2022, Tập đoàn Bảo Việt đã chi trả cổ tức bằng tiền ở mức 30,261% (3.026,1 VND/cổ phiếu) tính trên vốn điều lệ 7.423.227.640.000 VND, với số tiền thực tế chi trả là 2.246.342.913.736 VND. Việc chi trả cổ tức đã được thực hiện vào tháng 12 năm 2022.",,,,
25.5,25.5,25.5,Cổ phiếu,,,,,,,
,,,,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,,,,
,,,,Số lượng,Giá trị VND,Số lượng,,,,
,,,Cổ phiếu đăng ký phát hành,742.322.764,7.423.227.640.000,742.322.764,,742322764.0,7423227640000.0,742322764.0
,,,Cổ phiếu đã bán ra công chúng,742.322.764,7.423.227.640.000,742.322.764,,742322764.0,7423227640000.0,742322764.0
,,,Cổ phiếu phổ thông,742.322.764,7.423.227.640.000,742.322.764,,742322764.0,7423227640000.0,742322764.0
,,,Cổ phiếu đang lưu hành,742.322.764,7.423.227.640.000,742.322.764,,742322764.0,7423227640000.0,742322764.0
,,,Cổ phiếu phổ thông,742.322.764,7.423.227.640.000,742.322.764,,742322764.0,7423227640000.0,742322764.0
