row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,442.169.277.324,171.132.492.276,8.043.224.844.197,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,442169277324.0,171132492276.0,8043224844197.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,699.593.467.601,12.880.733.113,712.474.200.714,,,,,699593467601.0,12880733113.0,712474200714.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(92.710.063.683),(2.820.021.228),(95.530.084.911),,,,,-92710063683.0,-2820021228.0,-95530084911.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(391.334.260.000),(13.225.000.000),(404.559.260.000),,,,,-391334260000.0,-13225000000.0,-404559260000.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,(449.881.276),(149.960.427),(599.841.703),,,,,-449881276.0,-149960427.0,-599841703.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,657.268.539.966,167.818.243.734,8.255.009.858.297,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,657268539966.0,167818243734.0,8255009858297.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,657.268.539.966,167.818.243.734,8.255.009.858.297,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,657268539966.0,167818243734.0,8255009858297.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,377.703.325.589,11.156.546.070,388.859.871.659,,,,,377703325589.0,11156546070.0,388859871659.0
"Trích Quỹ khen thưởng, phúc lợi (1)","Trích Quỹ khen thưởng, phúc lợi (1)","Trích Quỹ khen thưởng, phúc lợi (1)",-,-,-,-,(77.492.951.528),(2.557.073.845),(80.050.025.373),,,,,-77492951528.0,-2557073845.0,-80050025373.0
Chia cổ tức (2),Chia cổ tức (2),Chia cổ tức (2),-,-,-,-,(391.334.260.000),(11.050.000.000),(402.384.260.000),,,,,-391334260000.0,-11050000000.0,-402384260000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,566.144.654.027,165.367.715.959,8.161.435.444.583,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,566144654027.0,165367715959.0,8161435444583.0
