row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I.,I.,I.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,467.075.648.951,870.615.529.226,,1.0,467075648951.0,870615529226.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,
,,,Khấu hao tài sản cố định và bất động sản đầu tư,02,561.879.123.157,519.256.652.582,,2.0,561879123157.0,519256652582.0
,,,Các khoản dự phòng,03,167.226.193.328,36.967.616.014,,3.0,167226193328.0,36967616014.0
,,,(Lãi)/lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(764.976.791),8.093.479.053,,4.0,-764976791.0,8093479053.0
,,,(Lãi) từ hoạt động đầu tư,05,(137.907.172.131),(129.190.927.841),,5.0,-137907172131.0,-129190927841.0
,,,Chi phí lãi vay,06,106.897.449.564,62.586.468.519,,6.0,106897449564.0,62586468519.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,1.164.406.266.078,1.368.328.817.553,,8.0,1164406266078.0,1368328817553.0
,,,"Tăng, giảm các khoản phải thu",09,227.366.396.790,(284.540.032.573),,9.0,227366396790.0,-284540032573.0
,,,"Tăng, giảm hàng tồn kho",10,255.149.812.712,(433.702.859.916),,10.0,255149812712.0,-433702859916.0
,,,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuê thu nhập doanh nghiệp phải nộp)",11,283.021.492.395,(6.824.219.476),,11.0,283021492395.0,-6824219476.0
,,,"Tăng, giảm chi phí trả trước",12,16.080.067.431,(28.881.238.829),,12.0,16080067431.0,-28881238829.0
,,,Tiền lãi vay đã trả,14,(54.866.114.339),(95.538.767),,14.0,-54866114339.0,-95538767.0
,,,Thuế thu nhập doanh nghiệp đã nộp,15,(45.844.375.272),(144.064.079.451),,15.0,-45844375272.0,-144064079451.0
,,,Tiền chi khác cho hoạt động kinh doanh,17,(86.306.205.352),(89.165.406.558),,17.0,-86306205352.0,-89165406558.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,1.759.007.340.443,381.055.441.983,,20.0,1759007340443.0,381055441983.0
II.,II.,II.,LƯU CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(117.832.821.638),(890.564.913.641),,21.0,-117832821638.0,-890564913641.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,2.828.702.473,5.320.554.728,,22.0,2828702473.0,5320554728.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(1.720.000.000.000),(1.695.000.000.000),,23.0,-1720000000000.0,-1695000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,1.640.000.000.000,1.635.000.000.000,,24.0,1640000000000.0,1635000000000.0
5.,II. > 5.,5.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,140.662.774.725,123.554.802.970,,27.0,140662774725.0,123554802970.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(54.341.344.440),(821.689.555.943),,30.0,-54341344440.0,-821689555943.0
