row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGÂN HẠN,100,,5.943.854.074.804,5.172.046.948.960,,100.0,,5943854074804.0,5172046948960.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,2.976.952.450.033,1.716.919.348.616,,110.0,4.0,2976952450033.0,1716919348616.0
1.,1.,1.,Tiền,111,,349.278.804.046,293.934.821.687,,111.0,,349278804046.0,293934821687.0
2.,2.,2.,Các khoản tương đương tiền,112,,2.627.673.645.987,1.422.984.526.929,,112.0,,2627673645987.0,1422984526929.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,1.035.000.000.000,955.000.000.000,,120.0,5.0,1035000000000.0,955000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,1.035.000.000.000,955.000.000.000,,123.0,,1035000000000.0,955000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,289.371.734.319,520.579.213.356,,130.0,,289371734319.0,520579213356.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,239.163.840.466,422.514.452.443,,131.0,6.0,239163840466.0,422514452443.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,37.348.595.546,78.790.739.261,,132.0,7.0,37348595546.0,78790739261.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,250.709.558.469,252.514.839.051,,136.0,8.0,250709558469.0,252514839051.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(238.285.341.239),(233.576.422.659),,137.0,9.0,-238285341239.0,-233576422659.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,435.081.077,335.605.260,,139.0,,435081077.0,335605260.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.350.638.678.171,1.662.663.084.855,,140.0,10.0,1350638678171.0,1662663084855.0
1.,1.,1.,Hàng tồn kho,141,,1.370.295.612.901,1.665.129.426.404,,141.0,,1370295612901.0,1665129426404.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(19.656.934.730),(2.466.341.549),,149.0,,-19656934730.0,-2466341549.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,291.891.212.281,316.885.302.133,,150.0,,291891212281.0,316885302133.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,29.727.375.587,53.472.993.772,,151.0,11.0,29727375587.0,53472993772.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,257.326.042.539,258.031.179.931,,152.0,,257326042539.0,258031179931.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,19,4.837.794.155,5.381.128.430,,153.0,19.0,4837794155.0,5381128430.0
