row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.496.454.188.790,5.962.209.859.178,,200.0,,5496454188790.0,5962209859178.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,658.396.000,858.374.000,,210.0,,658396000.0,858374000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,658.396.000,858.374.000,,216.0,8.0,658396000.0,858374000.0
II.,II.,II.,Tài sản cố định,220,,4.790.657.948.234,5.313.224.552.963,,220.0,,4790657948234.0,5313224552963.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,3.932.312.724.389,4.453.310.092.927,,221.0,12.0,3932312724389.0,4453310092927.0
1.,1.,1.,- Nguyên giá,222,,11.629.420.833.126,11.653.882.170.846,,222.0,,11629420833126.0,11653882170846.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(7.697.108.108.737),(7.200.572.077.919),,223.0,,-7697108108737.0,-7200572077919.0
2.,2.,2.,Tài sản cố định vô hình,227,13,858.345.223.845,859.914.460.036,,227.0,13.0,858345223845.0,859914460036.0
2.,2.,2.,- Nguyên giá,228,,1.152.277.537.593,1.139.091.383.947,,228.0,,1152277537593.0,1139091383947.0
2.,2.,2.,- Giá trị hao mòn lũy kế,229,,(293.932.313.748),(279.176.923.911),,229.0,,-293932313748.0,-279176923911.0
III.,III.,III.,Bắt động sản đầu tư,230,14,239.820.697.731,250.383.262.298,,230.0,14.0,239820697731.0,250383262298.0
III.,III.,III.,- Nguyên giá,231,,334.556.867.544,334.556.867.544,,231.0,,334556867544.0,334556867544.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(94.736.169.813),(84.173.605.246),,232.0,,-94736169813.0,-84173605246.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,145.846.801.849,136.578.490.420,,240.0,,145846801849.0,136578490420.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,15,145.846.801.849,136.578.490.420,,242.0,15.0,145846801849.0,136578490420.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,45.369.527.464,46.652.969.218,,250.0,5.0,45369527464.0,46652969218.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liền kết",252,,26.973.857.965,28.388.260.482,,252.0,,26973857965.0,28388260482.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,20.502.000.000,20.502.000.000,,253.0,,20502000000.0,20502000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,(2.106.330.501),(2.237.291.264),,254.0,,-2106330501.0,-2237291264.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,274.100.817.512,214.512.210.279,,260.0,,274100817512.0,214512210279.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,30.935.743.889,23.270.193.135,,261.0,11.0,30935743889.0,23270193135.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,16,81.381.867.070,69.142.811.382,,262.0,16.0,81381867070.0,69142811382.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,10,148.991.115.516,109.307.114.725,,263.0,10.0,148991115516.0,109307114725.0
4.,4.,4.,Tài sản dài hạn khác,268,,12.792.091.037,12.792.091.037,,268.0,,12792091037.0,12792091037.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,11.440.308.263.594,11.134.256.808.138,,270.0,,11440308263594.0,11134256808138.0
