row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,3.278.872.819.011,2.879.246.949.841,,300.0,,3278872819011.0,2879246949841.0
I.,I.,I.,Nợ ngắn hạn,310,,2.060.713.280.767,1.513.850.189.531,,310.0,,2060713280767.0,1513850189531.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,478.565.168.169,415.701.704.589,,311.0,17.0,478565168169.0,415701704589.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,80.837.106.240,68.643.918.032,,312.0,18.0,80837106240.0,68643918032.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,66.288.625.026,23.253.103.532,,313.0,19.0,66288625026.0,23253103532.0
4.,4.,4.,Phải trả người lao động,314,,137.134.034.081,113.798.450.304,,314.0,,137134034081.0,113798450304.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,678.292.053.057,580.230.502.931,,315.0,20.0,678292053057.0,580230502931.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,18.181.819,118.761.819,,318.0,,18181819.0,118761819.0
7.,7.,7.,Phải trả ngắn hạn khác,319,21,80.115.659.533,54.325.536.302,,319.0,21.0,80115659533.0,54325536302.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,177.270.899.255,201.978.485.702,,320.0,23.0,177270899255.0,201978485702.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,22,312.648.007.246,-,,321.0,22.0,312648007246.0,
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,49.543.546.341,55.799.726.320,,322.0,,49543546341.0,55799726320.0
II.,II.,II.,Nợ dài hạn,330,,1.218.159.538.244,1.365.396.760.310,,330.0,,1218159538244.0,1365396760310.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,,-,167.880.274,,336.0,,,167880274.0
2.,2.,2.,Phải trả dài hạn khác,337,21,960.870.000,960.870.000,,337.0,21.0,960870000.0,960870000.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,23,1.063.625.393.987,1.031.870.914.209,,338.0,23.0,1063625393987.0,1031870914209.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,16,132.540.000.000,132.540.000.000,,341.0,16.0,132540000000.0,132540000000.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,22,-,167.190.364.916,,342.0,22.0,,167190364916.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,,21.033.274.257,32.666.730.911,,343.0,,21033274257.0,32666730911.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,8.161.435.444.583,8.255.009.858.297,,400.0,,8161435444583.0,8255009858297.0
I.,I.,I.,Vốn chủ sở hữu,410,24,8.161.435.444.583,8.255.009.858.297,,410.0,24.0,8161435444583.0,8255009858297.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.914.000.000.000,3.914.000.000.000,,411.0,,3914000000000.0,3914000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.914.000.000.000,3.914.000.000.000,,,,3914000000000.0,3914000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,21.179.913.858,21.179.913.858,,412.0,,21179913858.0,21179913858.0
3.,3.,3.,Cổ phiếu quỹ,415,,(2.296.824.120),(2.296.824.120),,415.0,,-2296824120.0,-2296824120.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,3.497.039.984.859,3.497.039.984.859,,418.0,,3497039984859.0,3497039984859.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,566.144.654.027,657.268.539.966,,421.0,,566144654027.0,657268539966.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối năm trước,421a,,228.248.570.458,50.282.517.164,,,,228248570458.0,50282517164.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,337.896.083.569,606.986.022.802,,,,337896083569.0,606986022802.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,,165.367.715.959,167.818.243.734,,429.0,,165367715959.0,167818243734.0
TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,11.440.308.263.594,11.134.256.808.138,,440.0,,11440308263594.0,11134256808138.0
