row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền,bằng sáng chế",Phân mềmmáy tính,Tài sản cố địnhvô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền,bằng sáng chế",numeric__Phân mềmmáy tính,numeric__Tài sản cố địnhvô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,863.853.207.162,175.819.275.927,83.599.267.704,15.819.633.154,1.139.091.383.947,863853207162.0,175819275927.0,83599267704.0,15819633154.0,1139091383947.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,13.186.153.646,-,13.186.153.646,,,13186153646.0,,13186153646.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,863.853.207.162,175.819.275.927,96.785.421.350,15.819.633.154,1.152.277.537.593,863853207162.0,175819275927.0,96785421350.0,15819633154.0,1152277537593.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,36.401.779.513,173.163.781.437,59.128.014.436,10.483.348.525,279.176.923.911,36401779513.0,173163781437.0,59128014436.0,10483348525.0,279176923911.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,5.005.600.203,711.684.703,8.535.727.400,502.377.531,14.755.389.837,5005600203.0,711684703.0,8535727400.0,502377531.0,14755389837.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,41.407.379.716,173.875.466.140,67.663.741.836,10.985.726.056,293.932.313.748,41407379716.0,173875466140.0,67663741836.0,10985726056.0,293932313748.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,827.451.427.649,2.655.494.490,24.471.253.268,5.336.284.629,859.914.460.036,827451427649.0,2655494490.0,24471253268.0,5336284629.0,859914460036.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,822.445.827.446,1.943.809.787,29.121.679.514,4.833.907.098,858.345.223.845,822445827446.0,1943809787.0,29121679514.0,4833907098.0,858345223845.0
