row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng côngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng côngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,2.402.428.207.103,8.235.685.637.851,86.156.122.930,291.627.713.458,637.984.489.504,11.653.882.170.846,2402428207103.0,8235685637851.0,86156122930.0,291627713458.0,637984489504.0,11653882170846.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,3.685.527.152,4.183.361.000,13.357.643.205,-,21.226.531.357,,3685527152.0,4183361000.0,13357643205.0,,21226531357.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(41.887.579.808),(1.115.309.709),(2.372.789.709),(312.189.851),-,(45.687.869.077),-41887579808.0,-1115309709.0,-2372789709.0,-312189851.0,,-45687869077.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(75.086.000),116.442.089,-,(41.356.089),-,-,-75086000.0,116442089.0,,-41356089.0,,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,2.360.465.541.295,8.238.372.297.383,87.966.694.221,304.631.810.723,637.984.489.504,11.629.420.833.126,2360465541295.0,8238372297383.0,87966694221.0,304631810723.0,637984489504.0,11629420833126.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.188.789.881.974,5.647.928.814.694,71.376.202.669,191.201.248.689,101.275.929.893,7.200.572.077.919,1188789881974.0,5647928814694.0,71376202669.0,191201248689.0,101275929893.0,7200572077919.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,136.580.105.740,266.326.962.194,3.860.745.657,34.546.769.113,95.246.586.049,536.561.168.753,136580105740.0,266326962194.0,3860745657.0,34546769113.0,95246586049.0,536561168753.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(36.427.835.768),(1.115.309.709),(2.169.802.607),(312.189.851),-,(40.025.137.935),-36427835768.0,-1115309709.0,-2169802607.0,-312189851.0,,-40025137935.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(9.668.608),(2.845.999),-,12.561.182,(46.575),-,-9668608.0,-2845999.0,,12561182.0,-46575.0,
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.288.932.483.338,5.913.137.621.180,73.067.145.719,225.448.389.133,196.522.469.367,7.697.108.108.737,1288932483338.0,5913137621180.0,73067145719.0,225448389133.0,196522469367.0,7697108108737.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.213.638.325.129,2.587.756.823.157,14.779.920.261,100.426.464.769,536.708.559.611,4.453.310.092.927,1213638325129.0,2587756823157.0,14779920261.0,100426464769.0,536708559611.0,4453310092927.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.071.533.057.957,2.325.234.676.203,14.899.548.502,79.183.421.590,441.462.020.137,3.932.312.724.389,1071533057957.0,2325234676203.0,14899548502.0,79183421590.0,441462020137.0,3932312724389.0
