row_label_raw,row_label_full,Cổ đông,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi_1,Vốn đã góp Số cuối năm,Vốn đã góp Số đầu năm,numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi,numeric__Theo Giấy chứng nhận đăng ký kinh doanh sửa đổi_1,numeric__Vốn đã góp Số cuối năm,numeric__Vốn đã góp Số đầu năm
Cổ đông,Cổ đông,Cổ đông,VND,%,VND,VND,,,,
Tập đoàn Dầu khí Việt Nam,Cổ đông > Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,2.332.042.530.000,"59,58",2.332.042.530.000,2.332.042.530.000,2332042530000.0,59.58,2332042530000.0,2332042530000.0
Các cổ đông khác,Cổ đông > Các cổ đông khác,Các cổ đông khác,1.581.957.470.000,"40,42",1.581.957.470.000,1.581.957.470.000,1581957470000.0,40.42,1581957470000.0,1581957470000.0
,,,3.914.000.000.000,100%,3.914.000.000.000,3.914.000.000.000,3914000000000.0,1.0,3914000000000.0,3914000000000.0
