row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,TSCĐ vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__TSCĐ vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,21.475.798.076,1.277.700.000,22.899.451.182,45.652.949.258,21475798076.0,1277700000.0,22899451182.0,45652949258.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,110.000.000,-,110.000.000,,110000000.0,,110000000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,21.475.798.076,1.387.700.000,22.899.451.182,45.762.949.258,21475798076.0,1387700000.0,22899451182.0,45762949258.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,-,70.000.000,20.119.251.983,20.189.251.983,,70000000.0,20119251983.0,20189251983.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,3.627.491.142,953.941.289,21.768.924.907,26.350.357.338,3627491142.0,953941289.0,21768924907.0,26350357338.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,388.103.964,235.304.044,101.285.424,724.693.432,388103964.0,235304044.0,101285424.0,724693432.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,4.015.595.106,1.189.245.333,21.870.210.331,27.075.050.770,4015595106.0,1189245333.0,21870210331.0,27075050770.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,17.848.306.934,323.758.711,1.130.526.275,19.302.591.920,17848306934.0,323758711.0,1130526275.0,19302591920.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,17.460.202.970,198.454.667,1.029.240.851,18.687.898.488,17460202970.0,198454667.0,1029240851.0,18687898488.0
