row_label_raw,row_label_full,col_0,Nhà cửa,"Máy móc, thiết bị",Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa,"numeric__Máy móc, thiết bị",numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,167.341.644.075,50.854.067.382,218.195.711.457,167341644075.0,50854067382.0,218195711457.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,1.722.751.902,-,1.722.751.902,1722751902.0,,1722751902.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,41.411.504.489,38.054.804.044,79.466.308.533,41411504489.0,38054804044.0,79466308533.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,4.625.168.328,5.169.732.811,9.794.901.139,4625168328.0,5169732811.0,9794901139.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,46.036.672.817,43.224.536.855,89.261.209.672,46036672817.0,43224536855.0,89261209672.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,125.930.139.586,12.799.263.338,138.729.402.924,125930139586.0,12799263338.0,138729402924.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,121.304.971.258,7.629.530.527,128.934.501.785,121304971258.0,7629530527.0,128934501785.0
