row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Đơn vị tính: VND > Giá trị thuần,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Đơn vị tính: VND > Giá trị thuần
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,,,,,
1,Đầu tư vào công ty con > 1,1,Công ty TNHH MTV Lâm nghiệp La Ngà - Đồng Nai (*),134.000.000.000,-,134.000.000.000,110.376.505.790,-,110.376.505.790,,134000000000.0,,134000000000.0,110376505790.0,,110376505790.0
2,Đầu tư vào công ty con > 2,2,Công ty TNHH MTV Lâm nghiệp Lộc Bình,83.500.000.000,(7.400.796.304),76.099.203.696,83.500.000.000,(6.265.010.418),77.234.989.582,,83500000000.0,-7400796304.0,76099203696.0,83500000000.0,-6265010418.0,77234989582.0
3,Đầu tư vào công ty con > 3,3,Công ty TNHH MTV Lâm nghiệp Đình Lập,66.500.000.000,(4.492.299.542),62.007.700.458,66.500.000.000,(4.565.459.331),61.934.540.669,,66500000000.0,-4492299542.0,62007700458.0,66500000000.0,-4565459331.0,61934540669.0
4,Đầu tư vào công ty con > 4,4,Công ty TNHH MTV Lâm nghiệp Đông Bắc,46.100.000.000,(6.394.831.598),39.705.168.402,46.100.000.000,(4.708.688.486),41.391.311.514,,46100000000.0,-6394831598.0,39705168402.0,46100000000.0,-4708688486.0,41391311514.0
5,Đầu tư vào công ty con > 5,5,Công ty TNHH MTV Lâm nghiệp Ba Tơ (*),50.550.877.955,-,50.550.877.955,42.000.000.000,-,42.000.000.000,,50550877955.0,,50550877955.0,42000000000.0,,42000000000.0
6,Đầu tư vào công ty con > 6,6,Công ty Cổ phần Cẩm Hà,17.433.225.852,-,17.433.225.852,17.433.225.852,-,17.433.225.852,,17433225852.0,,17433225852.0,17433225852.0,,17433225852.0
7,Đầu tư vào công ty con > 7,7,Công ty Cổ phần Sản xuất và Xuất nhập khẩu Lâm sản Sài gôn,15.028.682.215,-,15.028.682.215,15.028.682.215,-,15.028.682.215,,15028682215.0,,15028682215.0,15028682215.0,,15028682215.0
8,Đầu tư vào công ty con > 8,8,Công ty Cổ phần Vinafor Đà Nẵng,13.741.488.142,-,13.741.488.142,13.741.488.142,-,13.741.488.142,,13741488142.0,,13741488142.0,13741488142.0,,13741488142.0
9,Đầu tư vào công ty con > 9,9,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Bộ,6.462.259.450,-,6.462.259.450,6.462.259.450,-,6.462.259.450,,6462259450.0,,6462259450.0,6462259450.0,,6462259450.0
10,Đầu tư vào công ty con > 10,10,Công ty Cổ phần Long Bình,6.096.584.122,-,6.096.584.122,6.096.584.122,-,6.096.584.122,,6096584122.0,,6096584122.0,6096584122.0,,6096584122.0
11,Đầu tư vào công ty con > 11,11,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,5.125.155.489,-,5.125.155.489,5.125.155.489,-,5.125.155.489,,5125155489.0,,5125155489.0,5125155489.0,,5125155489.0
12,Đầu tư vào công ty con > 12,12,Công ty TNHH MTV Hợp Tác Lao Đông và Dịch Vụ Vinafor (**),8.500.000.000,(246.282.339),8.253.717.661,-,-,-,,8500000000.0,-246282339.0,8253717661.0,,,
13,Đầu tư vào công ty con > 13,13,Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quát,4.627.945.602,-,4.627.945.602,4.627.945.602,(4.625.605.602),2.340.000,,4627945602.0,,4627945602.0,4627945602.0,-4625605602.0,2340000.0
14,Đầu tư vào công ty con > 14,14,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,2.832.748.199,-,2.832.748.199,2.832.748.199,-,2.832.748.199,,2832748199.0,,2832748199.0,2832748199.0,,2832748199.0
15,Đầu tư vào công ty con > 15,15,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tĩnh,2.094.477.881,(1.877.798.926),216.678.955,2.094.477.881,(2.094.477.881),-,,2094477881.0,-1877798926.0,216678955.0,2094477881.0,-2094477881.0,
16,Đầu tư vào công ty con > 16,16,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,1.742.656.825,-,1.742.656.825,1.742.656.825,-,1.742.656.825,,1742656825.0,,1742656825.0,1742656825.0,,1742656825.0
17,Đầu tư vào công ty con > 17,17,Công ty Cổ phần Vinafor Vinh,1.626.640.618,(314.161.850),1.312.478.768,1.626.640.618,(329.108.163),1.297.532.455,,1626640618.0,-314161850.0,1312478768.0,1626640618.0,-329108163.0,1297532455.0
18,Đầu tư vào công ty con > 18,18,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,1.491.724.378,-,1.491.724.378,1.491.724.378,-,1.491.724.378,,1491724378.0,,1491724378.0,1491724378.0,,1491724378.0
19,Đầu tư vào công ty con > 19,19,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,517.537.629,-,517.537.629,517.537.629,-,517.537.629,,517537629.0,,517537629.0,517537629.0,,517537629.0
20,Đầu tư vào công ty con > 20,20,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,239.873.716,-,239.873.716,239.873.716,-,239.873.716,,239873716.0,,239873716.0,239873716.0,,239873716.0
,,,,468.211.878.073,(20.726.170.559),447.485.707.514,427.537.505.908,(22.588.349.881),404.949.156.027,,468211878073.0,-20726170559.0,447485707514.0,427537505908.0,-22588349881.0,404949156027.0
