row_label_raw,row_label_full,Bên liên quan > Công ty TNHH MTVLâm nghiệp Đình Lập,Mối quan hệ > Công ty con,"Nội dung nghiệp vụ > Cho vayLãi tiền cho vay,tiền gửiDoanh thu bánhàng và cung cấpdịch vụHỗ trợ cho đơn vịGóp vốn",Năm nay > 16.508.999.0001.859.439.452327.059.000233.000.000-,Năm trước > 4.200.000.000421.164.384348.817.500304.000.0009.899.361.857,numeric__Mối quan hệ > Công ty con,"numeric__Nội dung nghiệp vụ > Cho vayLãi tiền cho vay,tiền gửiDoanh thu bánhàng và cung cấpdịch vụHỗ trợ cho đơn vịGóp vốn",numeric__Năm nay > 16.508.999.0001.859.439.452327.059.000233.000.000-,numeric__Năm trước > 4.200.000.000421.164.384348.817.500304.000.0009.899.361.857
Công ty TNHH MTVVán dán Vinafor Bắc Giang,Công ty TNHH MTVVán dán Vinafor Bắc Giang,Công ty TNHH MTVVán dán Vinafor Bắc Giang,Công ty con,"Chuyển trả nợ gốcLãi tiền cho vay,tiền gửiChuyển tiền hỗ trợCho vay",16.361.000.0006.207.045.202250.442.639-,-30.877.9401.034.859.63011.361.000.000,,,,-3.0877940103485964e+28
Công ty TNHH MTVHợp Tác Lao Động và Dịch Vụ Vinafor,Công ty TNHH MTVHợp Tác Lao Động và Dịch Vụ Vinafor,Công ty TNHH MTVHợp Tác Lao Động và Dịch Vụ Vinafor,Công ty con,Góp vốn,8.500.000.000,-,,,8500000000.0,
Công ty TNHH MTVChế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH MTVChế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH MTVChế biến gỗ và đảm gỗ Dung Quát,Công ty con,"Thu nợ gốc vayLãi tiền cho vay,tiền gửiHỗ trợ cho đơn vịChuyển tiền hỗ trợChênh lệch tỷ giá",4.000.000.0003.114.382.800124.047.20033.050.6854.700.166,----179.166.273----,,,4.000000000311438e+43,
Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,Công ty Cổ phần Cờ Đỏ,Công ty liên kết,Hỗ trợ cho đơn vị,24.000.000,-,,,24000000.0,
Công ty Cổ phần Kon Hà Nừng,Công ty Cổ phần Kon Hà Nừng,Công ty Cổ phần Kon Hà Nừng,Công ty liên kết,Chuyển tiền thiết kế khai thácChi phí thiết kế khai thácMua hàng hóa dịch vụ,492.744.600447.949.636-,----435.617.672,,,,
Công ty Cổ phần Gỗ lạng Buôn Ma Thuật,Công ty Cổ phần Kon Hà Nừng > Công ty Cổ phần Gỗ lạng Buôn Ma Thuật,Công ty Cổ phần Gỗ lạng Buôn Ma Thuật,Công ty liên kết,Thu tiền bán vấn épDoanh thu bánván ép,8.383.224.3827.457.426.807,----6.847.994.610,,,8.383224382745743e+19,
Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Kon Hà Nừng > Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty Cổ phần Thương mại Lâm sản Hà Nội,Công ty liên kết,Giảm vốn góp,600.000.000,-,,,600000000.0,
