row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Mãy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị văn phòng,TSCĐ hữu hình khác,Đơn vị tính: VND Tổng cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Mãy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị văn phòng,numeric__TSCĐ hữu hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,183.555.093.865,303.028.373.779,34.178.619.782,62.144.765.723,2.007.549.004,584.914.402.153,183555093865.0,303028373779.0,34178619782.0,62144765723.0,2007549004.0,584914402153.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,1.030.625.000,2.450.213.876,-,-,-,3.480.838.876,1030625000.0,2450213876.0,,,,3480838876.0
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,-,827.920.836,-,-,-,827.920.836,,827920836.0,,,,827920836.0
- Giảm do điều chuyển tài sản cho công ty con,Nguyên giá: > - Giảm do điều chuyển tài sản cho công ty con,- Giảm do điều chuyển tài sản cho công ty con,-,-,(1.237.954.134),-,-,(1.237.954.134),,,-1237954134.0,,,-1237954134.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(957.960.488),(110.194.012),-,(1.068.154.500),,,-957960488.0,-110194012.0,,-1068154500.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,184.585.718.865,306.306.508.491,31.982.705.160,62.034.571.711,2.007.549.004,586.917.053.231,184585718865.0,306306508491.0,31982705160.0,62034571711.0,2007549004.0,586917053231.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,43.082.512.977,279.018.167.053,12.199.155.155,54.822.892.021,906.535.821,390.029.263.027,43082512977.0,279018167053.0,12199155155.0,54822892021.0,906535821.0,390029263027.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,115.185.483.533,289.913.363.823,19.807.639.847,59.310.847.378,1.660.858.167,485.878.192.748,115185483533.0,289913363823.0,19807639847.0,59310847378.0,1660858167.0,485878192748.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,6.271.680.749,3.663.617.039,3.064.802.882,772.009.602,64.896.576,13.837.006.848,6271680749.0,3663617039.0,3064802882.0,772009602.0,64896576.0,13837006848.0
- Giảm do điều chuyển tài sản cho công ty con,Giá trị khấu hao lũy kế: > - Giảm do điều chuyển tài sản cho công ty con,- Giảm do điều chuyển tài sản cho công ty con,-,-,(1.237.954.134),-,-,(1.237.954.134),,,-1237954134.0,,,-1237954134.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(957.960.488),(106.500.492),-,(1.064.460.980),,,-957960488.0,-106500492.0,,-1064460980.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,121.457.164.282,293.576.980.862,20.676.528.107,59.976.356.488,1.725.754.743,497.412.784.482,121457164282.0,293576980862.0,20676528107.0,59976356488.0,1725754743.0,497412784482.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,68.369.610.332,13.115.009.956,14.370.979.935,2.833.918.345,346.690.837,99.036.209.405,68369610332.0,13115009956.0,14370979935.0,2833918345.0,346690837.0,99036209405.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,63.128.554.583,12.729.527.629,11.306.177.053,2.058.215.223,281.794.261,89.504.268.749,63128554583.0,12729527629.0,11306177053.0,2058215223.0,281794261.0,89504268749.0
