row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu lãi tiền gửi ngân hàng,Ngắn hạn > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,54.037.473.295,-,75.051.804.779,-,54037473295.0,,75051804779.0,
Phải thu cổ tức và lợi nhuận được chia,Ngắn hạn > Phải thu cổ tức và lợi nhuận được chia,Phải thu cổ tức và lợi nhuận được chia,4.377.239.371,-,28.634.351.663,-,4377239371.0,,28634351663.0,
Phải thu về cổ phần hóa các công ty con và liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty con và liên kết,Phải thu về cổ phần hóa các công ty con và liên kết,3.217.466.635,(2.416.654.930),3.217.466.635,(2.416.654.930),3217466635.0,-2416654930.0,3217466635.0,-2416654930.0
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,13.358.716.812,(937.118.053),1.819.074.184,(923.948.465),13358716812.0,-937118053.0,1819074184.0,-923948465.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,2.626.170.352,-,2.676.499.027,-,2626170352.0,,2676499027.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,4.864.396.213,(1.458.656.604),5.550.863.255,(1.195.385.072),4864396213.0,-1458656604.0,5550863255.0,-1195385072.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,82.481.462.678,(4.812.429.587),116.950.059.543,(4.535.988.467),82481462678.0,-4812429587.0,116950059543.0,-4535988467.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Phải thu khác,Trong đó: > Phải thu khác,Phải thu khác,61.726.598.921,(1.582.330.814),81.868.710.854,(1.195.385.072),61726598921.0,-1582330814.0,81868710854.0,-1195385072.0
Phải thu khác từ bên liên quan (Thuyết minh số 31),Trong đó: > Phải thu khác từ bên liên quan (Thuyết minh số 31),Phải thu khác từ bên liên quan (Thuyết minh số 31),20.754.863.757,(3.230.098.773),35.081.348.689,(3.340.603.395),20754863757.0,-3230098773.0,35081348689.0,-3340603395.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.517.739.100,-,1.516.968.500,-,1517739100.0,,1516968500.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.517.739.100,-,1.516.968.500,-,1517739100.0,,1516968500.0,
