row_label_raw,row_label_full,Bên liên quan > Công ty LD Nuôi và Phát triển khỉ Việt Nam,Mối quan hệ > Công ty liên kết,Nội dung nghiệp vụ > Góp vốn,Năm nay > 984.272.246,Năm trước > 329.649.420,numeric__Mối quan hệ > Công ty liên kết,numeric__Nội dung nghiệp vụ > Góp vốn,numeric__Năm nay > 984.272.246,numeric__Năm trước > 329.649.420
Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật,Công ty liên kết,Phí quản lýChuyển tiền phí quản lýDoanh thu bán hàng và cung cấp dịch vụ,454.000.0001.006.170.000-,460.700.000-1.823.218.749,,,,
Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật > Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty liên kết,Chuyển tiền phí quản lý,1.006.170.000,-,,,1006170000.0,
Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật > Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty TNHH SX NLG Việt nhật Cái Lân,Công ty liên kết,Phí quản lý,454.000.000,460.700.000,,,454000000.0,460700000.0
Công ty TNHH SX nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật > Công ty TNHH SX nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH SX nguyên liệu giấy Việt Nhật Vũng Áng,Công ty liên kết,Doanh thu bán hàng hóa dịch vụThu lãi gốcLãi cho vay,343.208.596.011-,146.607.352.0112.636.655.487329.649.420,,,,1.4660735201126368e+30
Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Sản xuất Nguyên liệu giấy Việt Nhật > Công ty TNHH Yamaha MOTOR Việt Nam,Công ty TNHH Yamaha MOTOR Việt Nam,Công ty liên kết,Doanh thu cho thuê văn phòng,5.955.219.491,6.372.534.469,,,5955219491.0,6372534469.0
