row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Hoạt động khác > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khai thác trồng rừng > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động thương mại > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh MDF > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động cung cấp dịch vụ > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Hoạt động khác > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2021 và cho năm tài chính kết thúc cùng ngày
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,27.454.952.832,462.111.220.576,256.212.145.726,60.730.584.008,8.862.687.180,-,815.371.590.322,27454952832.0,462111220576.0,256212145726.0,60730584008.0,8862687180.0,,815371590322.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu > Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,11.024.080.100,-,-,-,(11.024.080.100),-,,11024080100.0,,,,-11024080100.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,27.454.952.832,473.135.300.676,256.212.145.726,60.730.584.008,8.862.687.180,(11.024.080.100),815.371.590.322,27454952832.0,473135300676.0,256212145726.0,60730584008.0,8862687180.0,-11024080100.0,815371590322.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,10.286.955.898,7.380.835.246,63.402.616.939,28.135.531.832,1.132.114.953,-,110.338.054.868,10286955898.0,7380835246.0,63402616939.0,28135531832.0,1132114953.0,,110338054868.0
"Thu nhập, chi phí không phân bổ (i)","Kết quả > Thu nhập, chi phí không phân bổ (i)","Thu nhập, chi phí không phân bổ (i)",,,,,,,127.450.691.226,,,,,,,127450691226.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,,237.788.746.094,,,,,,,237788746094.0
Chi phí thuế TNDN,Kết quả > Chi phí thuế TNDN,Chi phí thuế TNDN,,,,,,,(18.577.241.579),,,,,,,-18577241579.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,219.211.504.515,,,,,,,219211504515.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,155.191.285.250,67.951.333.871,122.951.621.446,128.934.501.785,148.449.631.067,-,623.478.373.419,155191285250.0,67951333871.0,122951621446.0,128934501785.0,148449631067.0,,623478373419.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,3.486.294.470.003,,,,,,,3486294470003.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,4.109.772.843.422,,,,,,,4109772843422.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,2.924.177.555,-,12.886.091.237,6.825.071.644,-,-,22.635.340.436,2924177555.0,,12886091237.0,6825071644.0,,,22635340436.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,168.891.997.988,,,,,,,168891997988.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,191.527.338.424,,,,,,,191527338424.0
