row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng (cổ phiếu),Số cuối năm > Giá trị (VND),Số cuối năm > Tỷ lệ quyền biểu quyết (%),Số đầu năm > Số lượng (cổ phiếu),Số đầu năm > Giá trị (VND),Số đầu năm > Tỷ lệ quyền biểu quyết (%),numeric__Số cuối năm > Số lượng (cổ phiếu),numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Tỷ lệ quyền biểu quyết (%),numeric__Số đầu năm > Số lượng (cổ phiếu),numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Tỷ lệ quyền biểu quyết (%)
Công ty Cổ phầnChế biến Lâm sản Xuất khẩu,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu,,,,,,,,,,,,
Pisico Huế,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu > Pisico Huế,Pisico Huế,19.520,3.776.758.327,13.01,19.520,3.776.758.327,13.01,19520.0,3776758327.0,1301.0,19520.0,3776758327.0,1301.0
Công ty Cổ phầnLâm nghiệpMiền Đông,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu > Công ty Cổ phầnLâm nghiệpMiền Đông,Công ty Cổ phầnLâm nghiệpMiền Đông,2.700,4.891.656.170,1.83,2.700,4.891.656.170,1.83,2700.0,4891656170.0,183.0,2700.0,4891656170.0,183.0
Công ty Cổ phầnVinafor QuảngTrị,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu > Công ty Cổ phầnVinafor QuảngTrị,Công ty Cổ phầnVinafor QuảngTrị,105.000,1.190.175.000,13.13,105.000,1.190.175.000,13.13,105000.0,1190175000.0,1313.0,105000.0,1190175000.0,1313.0
Công ty Cổ phầnArchi Reenco HoàBình,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu > Công ty Cổ phầnArchi Reenco HoàBình,Công ty Cổ phầnArchi Reenco HoàBình,50.000,4.997.777.156,5.00,50.000,4.997.777.156,5.00,50000.0,4997777156.0,500.0,50000.0,4997777156.0,500.0
TỔNG CỘNG,Công ty Cổ phầnChế biến Lâm sản Xuất khẩu > TỔNG CỘNG,TỔNG CỘNG,177.220,14.856.366.653,,177.220,14.856.366.653,,177220.0,14856366653.0,,177220.0,14856366653.0,
