row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Công cụ dụng cụ chờ phân bổ,Ngắn hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,119.354.843,30.520.753,119354843.0,30520753.0
Chi phí mua bảo hiểm,Ngắn hạn > Chi phí mua bảo hiểm,Chi phí mua bảo hiểm,104.536.327,68.143.375,104536327.0,68143375.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,606.362.573,140.526.350,606362573.0,140526350.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,830.253.743,239.190.478,830253743.0,239190478.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Công cụ dụng cụ chờ phân bổ,Dài hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,292.086.042,422.345.121,292086042.0,422345121.0
Giá trị tiềm năng phát triển và giá trị thương hiệu,Dài hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu,Giá trị tiềm năng phát triển và giá trị thương hiệu,9.100.003,3.103.294.755,9100003.0,3103294755.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,221.954.836,420.855.223,221954836.0,420855223.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,523.140.881,3.946.495.099,523140881.0,3946495099.0
