row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cấm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",7.045.582.488,7.045.582.488,7045582488.0,7045582488.0
"Nhận ký quỹ, ký cược ngắn hạn","Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",9.496.720.610,10.792.184.429,9496720610.0,10792184429.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.382.824.376,6.170.433.430,6382824376.0,6170433430.0
Phải trả phải nộp khác,Ngắn hạn > Phải trả phải nộp khác,Phải trả phải nộp khác,13.338.868.447,10.155.757.902,13338868447.0,10155757902.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,36.263.995.921,34.163.958.249,36263995921.0,34163958249.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn khác các bên khác,Trong đó: > Phải trả ngắn hạn khác các bên khác,Phải trả ngắn hạn khác các bên khác,36.254.030.809,33.967.452.725,36254030809.0,33967452725.0
Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 31),Trong đó: > Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 31),Phải trả ngắn hạn khác cho các bên liên quan(Thuyết minh số 31),9.965.112,196.505.524,9965112.0,196505524.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",10.743.073.781,10.712.841.131,10743073781.0,10712841131.0
Phải trả ngắn hạn khác cho các bên liên quan,Dài hạn > Phải trả ngắn hạn khác cho các bên liên quan,Phải trả ngắn hạn khác cho các bên liên quan,1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,11.958.609.461,11.928.376.811,11958609461.0,11928376811.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn khác các bên khác,Trong đó: > Phải trả dài hạn khác các bên khác,Phải trả dài hạn khác các bên khác,10.743.073.781,10.712.841.131,10743073781.0,10712841131.0
Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 31),Trong đó: > Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 31),Phải trả dài hạn khác cho các bên liên quan(Thuyết minh số 31),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
