row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,237.788.746.094,370.309.609.564,237788746094.0,370309609564.0
Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất áp dụng cho Tổng Công ty,47.557.749.219,74.061.921.913,47557749219.0,74061921913.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,667.925.714,1.663.228.374,667925714.0,1663228374.0
Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Các khoản điều chỉnh tăng: > Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,Chênh lệch tỷ giá chưa thực hiện do đánh giá lại tiền và các khoản phải thu,119.164.706,310.770,119164706.0,310770.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,
Hoàn nhập chi phí dự phòng,Các khoản điều chỉnh giảm: > Hoàn nhập chi phí dự phòng,Hoàn nhập chi phí dự phòng,-,(869.836.184),,-869836184.0
Thu nhập không chịu thuế,Các khoản điều chỉnh giảm: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(29.122.911.113),(45.879.059.970),-29122911113.0,-45879059970.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh giảm: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,(644.686.947),(108.482.344),-644686947.0,-108482344.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,18.577.241.579,28.868.082.559,18577241579.0,28868082559.0
