row_label_raw,row_label_full,Năm trước > Số dư đầu năm > Lợi nhuận trong năm,Vốn góp > Năm trước > 3.500.000.000.000 > -,Quỹ đầu tư phát triển > Năm trước > 147.050.335.892 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 705.484.665.086 > 341.441.527.005,Đơn vị tính: VND Tổng cộng > Năm trước > 4.352.535.000.978 > 341.441.527.005,numeric__Vốn góp > Năm trước > 3.500.000.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm trước > 147.050.335.892 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 705.484.665.086 > 341.441.527.005,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.352.535.000.978 > 341.441.527.005
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,75.454.001.250,(75.454.001.250),-,,75454001250.0,-75454001250.0,
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,(29.985.057.803),(29.985.057.803),,,-29985057803.0,-29985057803.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,(630.000.000.000),(630.000.000.000),,,-630000000000.0,-630000000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,222.504.337.142,311.487.133.038,4.033.991.470.180,3500000000000.0,222504337142.0,311487133038.0,4033991470180.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.500.000.000.000,222.504.337.142,311.487.133.038,4.033.991.470.180,3500000000000.0,222504337142.0,311487133038.0,4033991470180.0
Lợi nhuận trong năm,Năm nay > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,219.211.504.515,219.211.504.515,,,219211504515.0,219211504515.0
Trích quỹ khen thưởng phúc lợi (**),Năm nay > Trích quỹ khen thưởng phúc lợi (**),Trích quỹ khen thưởng phúc lợi (**),-,-,(24.519.873.090),(24.519.873.090),,,-24519873090.0,-24519873090.0
Chia cổ tức (*),Năm nay > Chia cổ tức (*),Chia cổ tức (*),-,-,(311.150.000.000),(311.150.000.000),,,-311150000000.0,-311150000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,3.500.000.000.000,222.504.337.142,195.028.764.463,3.917.533.101.605,3500000000000.0,222504337142.0,195028764463.0,3917533101605.0
