row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,"Bản quyền, bằng sáng chế, nhân hiệu thương mại",Chương trình phần mềm,Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế, nhân hiệu thương mại",numeric__Chương trình phần mềm,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,57.754.517.947,30.000.000,112.520.668.575,170.305.186.522,57754517947.0,30000000.0,112520668575.0,170305186522.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,57.754.517.947,30.000.000,112.520.668.575,170.305.186.522,57754517947.0,30000000.0,112520668575.0,170305186522.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,30.000.000,100.450.799.312,100.480.799.312,,30000000.0,100450799312.0,100480799312.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,-,7.836.967.396,7.836.967.396,,,7836967396.0,7836967396.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,30.000.000,108.287.766.708,108.317.766.708,,30000000.0,108287766708.0,108317766708.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,57.754.517.947,-,12.069.869.263,69.824.387.210,57754517947.0,,12069869263.0,69824387210.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,57.754.517.947,-,4.232.901.867,61.987.419.814,57754517947.0,,4232901867.0,61987419814.0
