row_label_raw,row_label_full,col_0,col_1,31/12/2024 > Giá trị,31/12/2024 > Số có khả năng trả nợ,01/01/2024 > Giá trị,01/01/2024 > Số có khả năng trả nợ,numeric__col_1,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Số có khả năng trả nợ,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Số có khả năng trả nợ
a. Vay và nợ thuê tài chính ngắn hạn,a. Vay và nợ thuê tài chính ngắn hạn,a. Vay và nợ thuê tài chính ngắn hạn,a. Vay và nợ thuê tài chính ngắn hạn,36.978.198.251.788,36.978.198.251.788,30.937.469.509.389,30.937.469.509.389,,36978198251788.0,36978198251788.0,30937469509389.0,30937469509389.0
23.1,23.1,23.1,Trái phiếu dài hạn đến hạn trả,22.734.434.869.114,22.734.434.869.114,19.648.073.728.323,19.648.073.728.323,,22734434869114.0,22734434869114.0,19648073728323.0,19648073728323.0
23.2,23.2,23.2,Vay ngân hàng,4.733.274.406.051,4.733.274.406.051,3.128.847.833.951,3.128.847.833.951,,4733274406051.0,4733274406051.0,3128847833951.0,3128847833951.0
23.3,23.3,23.3,Vay bên thứ ba,9.510.751.525.737,9.510.751.525.737,8.237.834.196.469,8.237.834.196.469,,9510751525737.0,9510751525737.0,8237834196469.0,8237834196469.0
,,,Vay bên liên quan (thuyết minh IX.2b.2),58.540.271.569,58.540.271.569,58.540.271.569,58.540.271.569,,58540271569.0,58540271569.0,58540271569.0,58540271569.0
,,,Chi phí phát hành trái phiếu,(58.802.820.683),(58.802.820.683),(135.826.520.923),(135.826.520.923),,-58802820683.0,-58802820683.0,-135826520923.0,-135826520923.0
b. Vay và nợ thuê tài chính dài hạn,b. Vay và nợ thuê tài chính dài hạn,b. Vay và nợ thuê tài chính dài hạn,b. Vay và nợ thuê tài chính dài hạn,24.587.656.403.178,24.587.656.403.178,26.774.936.365.837,26.774.936.365.837,,24587656403178.0,24587656403178.0,26774936365837.0,26774936365837.0
23.1,23.1,23.1,Trái phiếu dài hạn,14.580.872.840.875,14.580.872.840.875,18.978.289.359.119,18.978.289.359.119,,14580872840875.0,14580872840875.0,18978289359119.0,18978289359119.0
23.2,23.2,23.2,Vay ngân hàng,10.154.058.123.180,10.154.058.123.180,6.277.838.607.137,6.277.838.607.137,,10154058123180.0,10154058123180.0,6277838607137.0,6277838607137.0
23.3,23.3,23.3,Vay bên thứ ba,1.300.000.000,1.300.000.000,1.758.240.000.000,1.758.240.000.000,,1300000000.0,1300000000.0,1758240000000.0,1758240000000.0
,,,Chi phí phát hành trái phiếu,(148.574.560.877),(148.574.560.877),(239.431.600.419),(239.431.600.419),,-148574560877.0,-148574560877.0,-239431600419.0,-239431600419.0
Cộng,Cộng,Cộng,Cộng,61.565.854.654.966,61.565.854.654.966,57.712.405.875.226,57.712.405.875.226,,61565854654966.0,61565854654966.0,57712405875226.0,57712405875226.0
