row_label_raw,row_label_full,col_0,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại_1,Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả_1,numeric__Tài sản thuế TNDN hoãn lại,numeric__Tài sản thuế TNDN hoãn lại_1,numeric__Thuế TNDN hoãn lại phải trả,numeric__Thuế TNDN hoãn lại phải trả_1
,,,Năm 2024,Năm 2023,Năm 2024,Năm 2023,,,,
Số đầu năm,Số đầu năm,Số đầu năm,183.870.469.256,152.077.405.395,13.707.696.719.409,12.616.064.305.061,183870469256.0,152077405395.0,13707696719409.0,12616064305061.0
Ghi nhận kết quả kinh doanh,Ghi nhận kết quả kinh doanh,Ghi nhận kết quả kinh doanh,(42.186.111.134),(29.618.330.309),934.971.727.556,1.075.197.985.461,-42186111134.0,-29618330309.0,934971727556.0,1075197985461.0
Thoái vốn công ty con,Thoái vốn công ty con,Thoái vốn công ty con,-,61.411.394.170,(10.988.056.611),16.434.428.8;7,,61411394170.0,-10988056611.0,
Số cuối năm,Số cuối năm,Số cuối năm,141.684.358.122,183.870.469.256,14.631.680.390.354,13.707.696.719.499,141684358122.0,183870469256.0,14631680390354.0,13707696719499.0
