row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận tải,Thiết bị dụng cụquản lý,Tài sản cố định hữuhình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bị dụng cụquản lý,numeric__Tài sản cố định hữuhình khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.216.043.439.477,50.540.800.278,341.594.881.983,74.353.697.713,1.980.127.272,2.684.512.946.723,2216043439477.0,50540800278.0,341594881983.0,74353697713.0,1980127272.0,2684512946723.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,1.008.754.000,149.870.000,-,1.158.624.000,,,1008754000.0,149870000.0,,1158624000.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,164.614.576.602,-,6.035.522.942,-,170.306.907.331,340.957.006.875,164614576602.0,,6035522942.0,,170306907331.0,340957006875.0
Chuyển từ XDCB dở dang,Nguyên giá > Chuyển từ XDCB dở dang,Chuyển từ XDCB dở dang,-,-,7.957.575.759,-,-,7.957.575.759,,,7957575759.0,,,7957575759.0
Giảm do thoái vốn công ty con,Nguyên giá > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(704.377.641.762),-,(390.000.000),(41.243.770),-,(704.808.885.532),-704377641762.0,,-390000000.0,-41243770.0,,-704808885532.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(22.124.653.636),(977.999.818),-,(23.102.653.454),,,-22124653636.0,-977999818.0,,-23102653454.0
Chuyển sang XDCB dở dang,Nguyên giá > Chuyển sang XDCB dở dang,Chuyển sang XDCB dở dang,-,-,(19.205.200.000),-,-,(19.205.200.000),,,-19205200000.0,,,-19205200000.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,9.328.112.515,404.651.208,(9.778.812.515),46.048.792,-,-,9328112515.0,404651208.0,-9778812515.0,46048792.0,,
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,-,(1.298.014.200),-,-,(1.298.014.200),,,-1298014200.0,,,-1298014200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.685.608.486.832,50.945.451.486,303.800.054.333,73.530.372.917,172.287.034.603,2.286.171.400.171,1685608486832.0,50945451486.0,303800054333.0,73530372917.0,172287034603.0,2286171400171.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,147.012.301.266,25.302.844.828,119.856.347.536,59.888.173.696,887.846.213,352.947.513.539,147012301266.0,25302844828.0,119856347536.0,59888173696.0,887846213.0,352947513539.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,56.654.590.782,4.076.216.750,29.565.770.852,4.975.609.374,7.292.531.302,102.564.719.060,56654590782.0,4076216750.0,29565770852.0,4975609374.0,7292531302.0,102564719060.0
Giảm do thoái vốn công ty con,Giá trị hao mòn lũy kế > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(34.299.541.054),-,(216.666.666),(41.243.770),-,(34.557.451.490),-34299541054.0,,-216666666.0,-41243770.0,,-34557451490.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(9.500.309.260),(977.999.818),-,(10.478.309.078),,,-9500309260.0,-977999818.0,,-10478309078.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,- (46.048.792),-,46.048.792,-,-,,,,46048792.0,,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,169.367.350.994,29.333.012.786,139.705.142.462,63.890.588.274,8.180.377.515,410.476.472.031,169367350994.0,29333012786.0,139705142462.0,63890588274.0,8180377515.0,410476472031.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.069.031.138.211,25.237.955.450,221.738.534.447,14.465.524.017,1.092.281.059,2.331.565.433.184,2069031138211.0,25237955450.0,221738534447.0,14465524017.0,1092281059.0,2331565433184.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.516.241.135.838,21.612.438.700,164.094.911.871,9.639.784.643,164.106.657.088,1.875.694.928.140,1516241135838.0,21612438700.0,164094911871.0,9639784643.0,164106657088.0,1875694928140.0
