row_label_raw,row_label_full,Bên cho vay,31/12/2024,01/01/2024,numeric__31/12/2024,numeric__01/01/2024
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,4.733.274.406.051,3.128.847.833.951,4733274406051.0,3128847833951.0
Ngân hàng TMCP Việt Nam Thịnh Vượng (1),Ngân hàng TMCP Việt Nam Thịnh Vượng (1),Ngân hàng TMCP Việt Nam Thịnh Vượng (1),170.018.206.326,-,170018206326.0,
Ngân hàng TMCP Quân Đội (2),Ngân hàng TMCP Quân Đội (2),Ngân hàng TMCP Quân Đội (2),1.142.604.568.476,-,1142604568476.0,
"UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch) (3)","UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch) (3)","UBS AG, Singapore Branch (Trước dây là Credit Suisse AG, Singapore Branch) (3)",1.860.251.101.431,1.777.908.179.599,1860251101431.0,1777908179599.0
Ngân hàng TMCP Ngoại Thương Việt Nam - CN HCM (3),Ngân hàng TMCP Ngoại Thương Việt Nam - CN HCM (3),Ngân hàng TMCP Ngoại Thương Việt Nam - CN HCM (3),7.637.500.000,7.637.500.000,7637500000.0,7637500000.0
Ngân hàng TMCP Công Thương Việt Nam (4),Ngân hàng TMCP Công Thương Việt Nam (4),Ngân hàng TMCP Công Thương Việt Nam (4),100.000.000,542.800.000.000,100000000.0,542800000000.0
Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (5),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (5),Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh 1 (5),17.250.000.000,9.200.000.000,17250000000.0,9200000000.0
Maybank International Labuan Branch (5),Maybank International Labuan Branch (5),Maybank International Labuan Branch (5),485.469.000.000,195.360.000.000,485469000000.0,195360000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),485.469.000.000,195.360.000.000,485469000000.0,195360000000.0
Ngân hàng TMCP Tiên Phong (6),Ngân hàng TMCP Tiên Phong (6),Ngân hàng TMCP Tiên Phong (6),235.862.169.025,-,235862169025.0,
Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),328.512.860.793,139.542.854.352,328512860793.0,139542854352.0
Ngân hàng TMCP Phát Triển TP.HCM - Hội sở (7),Ngân hàng TMCP Phát Triển TP.HCM - Hội sở (7),Ngân hàng TMCP Phát Triển TP.HCM - Hội sở (7),100.000.000,100.000.000,100000000.0,100000000.0
The Hongkong and Shanghai Banking Corporation Limited - Chi nhánh Singapore,The Hongkong and Shanghai Banking Corporation Limited - Chi nhánh Singapore,The Hongkong and Shanghai Banking Corporation Limited - Chi nhánh Singapore,-,138.339.300.000,,138339300000.0
Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),Ngân hàng TNHH Một thành viên HSBC (Việt Nam),-,122.600.000.000,,122600000000.0
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,10.154.058.123.180,6.277.838.607.137,10154058123180.0,6277838607137.0
Ngân hàng TMCP Việt Nam Thịnh Vượng (1),Ngân hàng TMCP Việt Nam Thịnh Vượng (1),Ngân hàng TMCP Việt Nam Thịnh Vượng (1),4.559.879.261.488,1.812.131.840.089,4559879261488.0,1812131840089.0
Ngân hàng TMCP Quân Đội (2),Ngân hàng TMCP Quân Đội (2),Ngân hàng TMCP Quân Đội (2),2.409.579.240.812,1.809.837.186.986,2409579240812.0,1809837186986.0
Ngân hàng TMCP Công Thương Việt Nam (4),Ngân hàng TMCP Công Thương Việt Nam (4),Ngân hàng TMCP Công Thương Việt Nam (4),1.499.890.000.000,971.000.000.000,1499890000000.0,971000000000.0
Maybank International Labuan Branch (5),Maybank International Labuan Branch (5),Maybank International Labuan Branch (5),-,293.040.000.000,,293040000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (5),-,293.040.000.000,,293040000000.0
Ngân hàng TMCP Tiên Phong (6),Ngân hàng TMCP Tiên Phong (6),Ngân hàng TMCP Tiên Phong (6),1.309.151.677.498,924.061.002.354,1309151677498.0,924061002354.0
Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),Deutsche Investitions-und Entwicklungsgesellschaft mbH (7),-,174.428.577.708,,174428577708.0
Ngân hàng TMCP Phát Triển TP HCM - Hội sở (7),Ngân hàng TMCP Phát Triển TP HCM - Hội sở (7),Ngân hàng TMCP Phát Triển TP HCM - Hội sở (7),200.000.000,300.000.000,200000000.0,300000000.0
Ngân hàng TMCP Hàng Hải Việt Nam - CN HCM (8),Ngân hàng TMCP Hàng Hải Việt Nam - CN HCM (8),Ngân hàng TMCP Hàng Hải Việt Nam - CN HCM (8),375.357.943.382,-,375357943382.0,
Cộng,Cộng,Cộng,14.887.332.529.231,9.406.686.441.088,14887332529231.0,9406686441088.0
