row_label_raw,row_label_full,Loại phát hành trái phiếu bằng mệnh giá,Loại phát hành trái phiếu bằng mệnh giá_1,Loại phát hành trái phiếu bằng mệnh giá_2,numeric__Loại phát hành trái phiếu bằng mệnh giá_1,numeric__Loại phát hành trái phiếu bằng mệnh giá_2
Trái phiếu có đại lý phát hành/tổ chức tư vấn,Trái phiếu có đại lý phát hành/tổ chức tư vấn,Trái phiếu có đại lý phát hành/tổ chức tư vấn,31/12/2024,01/01/2024,,
Trái phiếu ngắn hạn,Trái phiếu có đại lý phát hành/tổ chức tư vấn > Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,22.734.434.869.114,19.648.073.728.323,22734434869114.0,19648073728323.0
Công ty Cổ phần Chứng khoán VPS (1),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán VPS (1),Công ty Cổ phần Chứng khoán VPS (1),5.450.000.000.000,7.000.000.000.000,5450000000000.0,7000000000000.0
Công ty Cổ phần chứng khoán SSI (2),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần chứng khoán SSI (2),Công ty Cổ phần chứng khoán SSI (2),3.428.000.000.000,3.428.000.000.000,3428000000000.0,3428000000000.0
Công ty Cổ phần Chứng khoán Dầu khí (3),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán Dầu khí (3),Công ty Cổ phần Chứng khoán Dầu khí (3),3.148.959.959.577,1.657.410.152.311,3148959959577.0,1657410152311.0
Công ty Cổ phần Chứng khoán MB (4),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán MB (4),Công ty Cổ phần Chứng khoán MB (4),2.498.003.400.000,2.221.200.000.000,2498003400000.0,2221200000000.0
Công ty Cổ phần Chứng khoán BIDV (5),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán BIDV (5),Công ty Cổ phần Chứng khoán BIDV (5),2.221.389.546.790,2.214.549.189.953,2221389546790.0,2214549189953.0
Công ty Cổ phần Chứng Khoán Tân Việt (6),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng Khoán Tân Việt (6),Công ty Cổ phần Chứng Khoán Tân Việt (6),1.977.213.724.391,2.021.134.200.000,1977213724391.0,2021134200000.0
Công ty Cổ phần Chứng khoán Tiên Phong (7),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán Tiên Phong (7),Công ty Cổ phần Chứng khoán Tiên Phong (7),1.440.000.000.000,-,1440000000000.0,
Công ty Cổ phần Chứng khoán Kỹ Thương (8),Trái phiếu có đại lý phát hành/tổ chức tư vấn > Công ty Cổ phần Chứng khoán Kỹ Thương (8),Công ty Cổ phần Chứng khoán Kỹ Thương (8),1.300.000.000.000,-,1300000000000.0,
