row_label_raw,row_label_full,Bên liên quan,Chức vụ,Tính chất thu nhập,Năm 2024,Năm 2023,numeric__Chức vụ,numeric__Tính chất thu nhập,numeric__Năm 2024,numeric__Năm 2023
2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,2. Ban Tổng giám đốc và Kế toán trưởng,,,,
Ng Teck Yow,2. Ban Tổng giám đốc và Kế toán trưởng > Ng Teck Yow,Ng Teck Yow,Tổng Giám Đốc đến ngày 01/11/2024,Tiền lương,4.266.799.172,3.287.238.095,,,4266799172.0,3287238095.0
Dương Văn Bắc,2. Ban Tổng giám đốc và Kế toán trưởng > Dương Văn Bắc,Dương Văn Bắc,Tổng Giám Đốc từ ngày 01/11/2024,Tiền lương,678.260.870,-,,,678260870.0,
Dương Văn Bắc,2. Ban Tổng giám đốc và Kế toán trưởng > Dương Văn Bắc,Dương Văn Bắc,Phó Tổng Giám đốc Kiêm GD tài chính đến ngày 01/11/2024,Tiền lương,2.578.616.977,1.638.260.870,,,2578616977.0,1638260870.0
Trần Thị Thanh Vân,2. Ban Tổng giám đốc và Kế toán trưởng > Trần Thị Thanh Vân,Trần Thị Thanh Vân,Phó Tổng Giám đốc,Tiền lương,302.608.696,-,,,302608696.0,
Cao Trần Duy Nam,2. Ban Tổng giám đốc và Kế toán trưởng > Cao Trần Duy Nam,Cao Trần Duy Nam,Phó Tổng Giám đốc,Tiền lương,282.434.783,-,,,282434783.0,
Nguyễn Thùy Xuân Mai,2. Ban Tổng giám đốc và Kế toán trưởng > Nguyễn Thùy Xuân Mai,Nguyễn Thùy Xuân Mai,Kế toán trường từ ngày 05/04/2024,Tiền lương,535.414.571,-,,,535414571.0,
Huỳnh Minh Lâm,2. Ban Tổng giám đốc và Kế toán trưởng > Huỳnh Minh Lâm,Huỳnh Minh Lâm,Kế toán trường đến ngày 05/04/2024,Tiền lương,296.208.000,1.050.711.965,,,296208000.0,1050711965.0
Nguyễn Ngọc Huyên,2. Ban Tổng giám đốc và Kế toán trưởng > Nguyễn Ngọc Huyên,Nguyễn Ngọc Huyên,Tổng Giám đốc,Tiền lương,-,591.360.000,,,,591360000.0
Dương Thị Thu Thủy,2. Ban Tổng giám đốc và Kế toán trưởng > Dương Thị Thu Thủy,Dương Thị Thu Thủy,Phó Tổng Giám đốc,Tiền lương,-,146.298.435,,,,146298435.0
Võ Thị Cao Ly,2. Ban Tổng giám đốc và Kế toán trưởng > Võ Thị Cao Ly,Võ Thị Cao Ly,Phó Tổng Giám đốc,Tiền lương,-,228.556.800,,,,228556800.0
Nguyễn Đức Dũng,2. Ban Tổng giám đốc và Kế toán trưởng > Nguyễn Đức Dũng,Nguyễn Đức Dũng,Giám đốc tài chính đến ngày 29/5/2023,Tiền lương,-,799.085.714,,,,799085714.0
