row_label_raw,row_label_full,Bên liên quan,Số dư tại ngày > 31/12/2024,Số dư tại ngày > 01/01/2024,numeric__Số dư tại ngày > 31/12/2024,numeric__Số dư tại ngày > 01/01/2024
1. Phải thu khách hàng,1. Phải thu khách hàng,1. Phải thu khách hàng,24.008.195.237,28.008.195.237,24008195237.0,28008195237.0
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,3.585.825.237,3.585.825.237,3585825237.0,3585825237.0
Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,Công ty Cổ phần Đầu tư Phát triển NSQ,20.422.370.000,24.422.370.000,20422370000.0,24422370000.0
2. Phải thu về cho vay ngắn hạn,2. Phải thu về cho vay ngắn hạn,2. Phải thu về cho vay ngắn hạn,17.572.000.000,17.572.000.000,17572000000.0,17572000000.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,17.572.000.000,17.572.000.000,17572000000.0,17572000000.0
3. Phải thu ngắn hạn,3. Phải thu ngắn hạn,3. Phải thu ngắn hạn,162.937.374.192,584.193.902.522,162937374192.0,584193902522.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,41.727.287.998,76.003.816.328,41727287998.0,76003816328.0
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,-,70.000.000.000,,70000000000.0
Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,Công ty Cổ phần Phát triển và Dịch vụ Nhà Bến Thành,30.810.086.194,30.810.086.194,30810086194.0,30810086194.0
Công ty Cổ phần Điện Từ và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện Từ và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện Từ và Dịch vụ Công nghiệp Sài Gòn,90.400.000.000,15.000.000.000,90400000000.0,15000000000.0
Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,Công ty TNHH Sài Gòn Gôn,-,392.380.000.000,,392380000000.0
4. Phải thu dài hạn khác,4. Phải thu dài hạn khác,4. Phải thu dài hạn khác,76.000.000.000,151.400.000.000,76000000000.0,151400000000.0
Ông Bùi Cao Nhật Quân,Ông Bùi Cao Nhật Quân,Ông Bùi Cao Nhật Quân,76.000.000.000,76.000.000.000,76000000000.0,76000000000.0
Công ty Cổ phần Điện tử Và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử Và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử Và Dịch vụ Công nghiệp Sài Gòn,-,75.400.000.000,,75400000000.0
5. Phải trả người bán ngắn hạn,5. Phải trả người bán ngắn hạn,5. Phải trả người bán ngắn hạn,2.364.186.295,2.465.274.295,2364186295.0,2465274295.0
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,1.485.887.095,1.485.887.095,1485887095.0,1485887095.0
Công ty Cổ phần Hùng Ngư Security,Công ty Cổ phần Hùng Ngư Security,Công ty Cổ phần Hùng Ngư Security,878.299.200,979.387.200,878299200.0,979387200.0
6. Chi phí phải trả,6. Chi phí phải trả,6. Chi phí phải trả,27.535.702.266,20.428.370.194,27535702266.0,20428370194.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,27.466.245.282,20.414.866.085,27466245282.0,20414866085.0
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,69.456.984,13.504.109,69456984.0,13504109.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,2.638.995.268.564,2.040.700.124.290,2638995268564.0,2040700124290.0
Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,Công ty Cổ phần NovaGroup,2.527.222.986.403,2.039.387.325.718,2527222986403.0,2039387325718.0
Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,Công ty Cổ phần Diamond Properties,111.772.282.161,1.312.798.572,111772282161.0,1312798572.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,58.540.271.569,58.540.271.569,58540271569.0,58540271569.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Open Land,57.640.271.569,57.640.271.569,57640271569.0,57640271569.0
Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,Công ty Cổ phần Thương mại Đầu tư Bất động sản Phú Trí,900.000.000,900.000.000,900000000.0,900000000.0
