row_label_raw,row_label_full,col_0,31/12/2024 > Giá trị,31/12/2024 > Dự phòng,01/01/2024 > Giá trị,01/01/2024 > Dự phòng,numeric__31/12/2024 > Giá trị,numeric__31/12/2024 > Dự phòng,numeric__01/01/2024 > Giá trị,numeric__01/01/2024 > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,37.982.680.530.513,(16.783.778.684),30.139.277.491.282,(15.000.000.000),37982680530513.0,-16783778684.0,30139277491282.0,-15000000000.0
Hợp tác đầu tư và phát triển dự án (1),Hợp tác đầu tư và phát triển dự án (1),Hợp tác đầu tư và phát triển dự án (1),16.177.398.000.000,-,5.279.035.000.000,-,16177398000000.0,,5279035000000.0,
Phải thu từ chuyển nhượng cổ phần (2),Phải thu từ chuyển nhượng cổ phần (2),Phải thu từ chuyển nhượng cổ phần (2),5.132.000.000.000,-,-,-,5132000000000.0,,,
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (3)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (3)","Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (3)",4.629.747.629.468,-,13.342.821.629.468,-,4629747629468.0,,13342821629468.0,
"Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư","Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư",3.434.739.865.026,(88.413.342),2.370.009.440.286,-,3434739865026.0,-88413342.0,2370009440286.0,
Đặt cọc nhận chuyển nhượng bất động sản và dự án (4),Đặt cọc nhận chuyển nhượng bất động sản và dự án (4),Đặt cọc nhận chuyển nhượng bất động sản và dự án (4),2.837.661.935.511,-,3.369.282.044.919,-,2837661935511.0,,3369282044919.0,
Phải thu do hoán đổi sản phẩm bất động sản (5),Phải thu do hoán đổi sản phẩm bất động sản (5),Phải thu do hoán đổi sản phẩm bất động sản (5),1.374.767.794.696,-,251.782.927.798,-,1374767794696.0,,251782927798.0,
Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,Thuế GTGT tạm nộp,1.053.540.648.471,-,1.053.540.648.471,-,1053540648471.0,,1053540648471.0,
Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,Tạm ứng lãi hợp tác đầu tư,1.018.500.000.000,-,886.081.827.359,-,1018500000000.0,,886081827359.0,
Tạm ứng cho các dự án,Tạm ứng cho các dự án,Tạm ứng cho các dự án,369.476.843.656,-,347.010.468.313,-,369476843656.0,,347010468313.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.954.847.813.685,(16.695.365.342),3.239.713.504.668,(15.000.000.000),1954847813685.0,-16695365342.0,3239713504668.0,-15000000000.0
