row_label_raw,row_label_full,Chỉ tiêu,Ghi nhận trênCân đối kế toán hợp nhất > 31/12/2024,Ghi nhận trênCân đối kế toán hợp nhất > 01/01/2024,Ghi nhận trênKQKD hợp nhất > Năm 2024,numeric__Ghi nhận trênCân đối kế toán hợp nhất > 31/12/2024,numeric__Ghi nhận trênCân đối kế toán hợp nhất > 01/01/2024,numeric__Ghi nhận trênKQKD hợp nhất > Năm 2024
1. Tài sản thuế TNDN hoãn lại,1. Tài sản thuế TNDN hoãn lại,1. Tài sản thuế TNDN hoãn lại,141.684.358.122,183.870.469.256,42.186.111.134,141684358122.0,183870469256.0,42186111134.0
"Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bất động sản đầu tư","Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bất động sản đầu tư","Chênh lệch tạm thời từ lãi chưa thực hiện trong hàng tồn kho, chi phí trả trước dài hạn, bất động sản đầu tư",74.297.345.920,85.833.151.250,11.535.805.330,74297345920.0,85833151250.0,11535805330.0
Chênh lệch tạm thời được khấu trừ các giao dịch khác,Chênh lệch tạm thời được khấu trừ các giao dịch khác,Chênh lệch tạm thời được khấu trừ các giao dịch khác,24.157.859.569,43.260.661.315,19.102.801.746,24157859569.0,43260661315.0,19102801746.0
Lỗ tính thuế chưa sử dụng,Lỗ tính thuế chưa sử dụng,Lỗ tính thuế chưa sử dụng,43.229.152.633,54.776.656.691,11.547.504.058,43229152633.0,54776656691.0,11547504058.0
2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,2. Thuế TNDN hoãn lại phải trả,14.631.680.390.354,13.707.696.719.409,934.971.727.556,14631680390354.0,13707696719409.0,934971727556.0
Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý tại ngày mua công ty con,9.675.221.573.232,9.847.342.903.833,(172.121.330.601),9675221573232.0,9847342903833.0,-172121330601.0
Thoái vốn công ty con,Thoái vốn công ty con,Thoái vốn công ty con,-,-,10.988.056.611,,,10988056611.0
Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,Chênh lệch tạm thời từ chi phí lãi vay vốn hóa,4.857.319.361.778,3.792.967.290.209,1.064.352.071.569,4857319361778.0,3792967290209.0,1064352071569.0
Chênh lệch tạm thời các giao dịch khác,Chênh lệch tạm thời các giao dịch khác,Chênh lệch tạm thời các giao dịch khác,99.139.455.344,67.386.525.367,31.752.929.977,99139455344.0,67386525367.0,31752929977.0
"3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)","3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)","3. Thuế TNDN hoãn lại tính vào kết quả kinh doanh hợp nhất (""KQKD"") (1+2)",,,977.157.838.690,,,977157838690.0
