row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước > Lợi nhuận thuần trong năm,Vốn góp của chủ sở hữu > 19.501.045.380.000 > -,Thặng dư vốn cổ phần > 5.051.601.924.626 > -,Lợi nhuận sau thuế chưa phân phối > 12.888.775.711.396 > 605.578.220.113,Lợi ích cổ đông không kiểm soát > 7.376.307.364.143 > (119.713.695.215),Cộng > 44.817.730.380.165 > 485.864.524.898,numeric__Vốn góp của chủ sở hữu > 19.501.045.380.000 > -,numeric__Thặng dư vốn cổ phần > 5.051.601.924.626 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 12.888.775.711.396 > 605.578.220.113,numeric__Lợi ích cổ đông không kiểm soát > 7.376.307.364.143 > (119.713.695.215),numeric__Cộng > 44.817.730.380.165 > 485.864.524.898
Giảm do nhận cổ tức,Giảm do nhận cổ tức,Giảm do nhận cổ tức,-,-,-,(31.383.642),(31.383.642),,,,-31383642.0,-31383642.0
Giảm vốn công ty con,Giảm vốn công ty con,Giảm vốn công ty con,-,-,-,(15.000.000),(15.000.000),,,,-15000000.0,-15000000.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,-,(698.479.018),(698.479.018),,,,-698479018.0,-698479018.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,(146.361.238),146.361.238,-,,,-146361238.0,146361238.0,
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,19.501.045.380.000,5.051.601.924.626,13.494.207.570.271,7.255.995.167.506,45.302.850.042.403,19501045380000.0,5051601924626.0,13494207570271.0,7255995167506.0,45302850042403.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.501.045.380.000,5.051.601.924.626,13.494.207.570.271,7.255.995.167.506,45.302.850.042.403,19501045380000.0,5051601924626.0,13494207570271.0,7255995167506.0,45302850042403.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,(6.454.779.904.770),2.060.137.701.067,(4.394.642.203.703),,,-6454779904770.0,2060137701067.0,-4394642203703.0
Giảm do nhận cổ tức,Giảm do nhận cổ tức,Giảm do nhận cổ tức,-,-,-,(37.153.487),(37.153.487),,,,-37153487.0,-37153487.0
Giảm vốn công ty con,Giảm vốn công ty con,Giảm vốn công ty con,-,-,-,(413.083.000),(413.083.000),,,,-413083000.0,-413083000.0
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,-,(158.604.422),(158.604.422),,,,-158604422.0,-158604422.0
Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,Thay đổi tỷ lệ của công ty con đã nấm quyền kiểm soát,-,-,6.241.691.076.578,141.734.284.245,6.383.425.360.823,,,6241691076578.0,141734284245.0,6383425360823.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.501.045.380.000,5.051.601.924.626,13.281.118.742.079,9.457.258.311.909,47.291.024.358.614,19501045380000.0,5051601924626.0,13281118742079.0,9457258311909.0,47291024358614.0
