row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vântai, truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vântai, truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sảncố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,9.473.158.756.349,6.871.395.075.523,1.164.211.608.859,29.096.146.135,852.185.498.604,18.390.047.085.470,9473158756349.0,6871395075523.0,1164211608859.0,29096146135.0,852185498604.0,18390047085470.0
Mua sắm mới,Nguyên giá > Mua sắm mới,Mua sắm mới,140.000.000,34.218.593.282,30.757.670.945,2.573.773.901,40.000.000,67.730.038.128,140000000.0,34218593282.0,30757670945.0,2573773901.0,40000000.0,67730038128.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,8.834.913.520,930.000.000,-,-,-,9.764.913.520,8834913520.0,930000000.0,,,,9764913520.0
Mua lại TSCĐ thuê tài chính,Nguyên giá > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,6.175.583.090,-,-,-,6.175.583.090,,6175583090.0,,,,6175583090.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(47.959.665.703),(67.854.300.414),(740.888.276),-,(116.554.854.393),,-47959665703.0,-67854300414.0,-740888276.0,,-116554854393.0
Điều chỉnh theo quyết toán vốn đầu tưcông trình,Nguyên giá > Điều chỉnh theo quyết toán vốn đầu tưcông trình,Điều chỉnh theo quyết toán vốn đầu tưcông trình,-,1.701.310.336,-,-,-,1.701.310.336,,1701310336.0,,,,1701310336.0
Giảm do sự cố cháy nổ,Nguyên giá > Giảm do sự cố cháy nổ,Giảm do sự cố cháy nổ,-,(13.241.414.807),-,-,-,(13.241.414.807),,-13241414807.0,,,,-13241414807.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,114.166.120.057,432.512.496.574,30.369.182.216,2.536.372.561,(579.584.171.408),-,114166120057.0,432512496574.0,30369182216.0,2536372561.0,-579584171408.0,
Tăng giảm khác,Nguyên giá > Tăng giảm khác,Tăng giảm khác,(1.669.861.238),3.214.401.334,-,-,-,1.544.540.096,-1669861238.0,3214401334.0,,,,1544540096.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,9.594.629.928.688,7.288.946.379.629,1.157.484.161.606,33.465.404.321,272.641.327.196,18.347.167.201.440,9594629928688.0,7288946379629.0,1157484161606.0,33465404321.0,272641327196.0,18347167201440.0
Đã khấu hao hết nhưng vẫn còn sử dụng,Nguyên giá > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,130.804.715.852,2.535.754.570.869,364.777.775.709,12.136.233.769,1.972.071.555,3.045.445.367.754,130804715852.0,2535754570869.0,364777775709.0,12136233769.0,1972071555.0,3045445367754.0
Chờ thanh lý,Nguyên giá > Chờ thanh lý,Chờ thanh lý,-,32.680.484.209,2.423.175.596,96.000.000,-,35.199.659.805,,32680484209.0,2423175596.0,96000000.0,,35199659805.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,2.985.800.142.341,4.253.212.229.692,895.927.838.317,22.282.193.154,153.963.931.799,8.311.186.335.303,2985800142341.0,4253212229692.0,895927838317.0,22282193154.0,153963931799.0,8311186335303.0
