row_label_raw,row_label_full,Nguyên giá,Chi phí quyềnsử dụng đất,Phần mềmmáy tính,Tài sản cố địnhvô hình khác,Cộng,numeric__Chi phí quyềnsử dụng đất,numeric__Phần mềmmáy tính,numeric__Tài sản cố địnhvô hình khác,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,10.935.518.564,4.927.847.447,740.000.000,16.603.366.011,10935518564.0,4927847447.0,740000000.0,16603366011.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,719.550.000,-,719.550.000,,719550000.0,,719550000.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(50.000.000),(50.000.000),,,-50000000.0,-50000000.0
Số cuối năm,Số cuối năm,Số cuối năm,10.935.518.564,5.647.397.447,690.000.000,17.272.916.011,10935518564.0,5647397447.0,690000000.0,17272916011.0
Trong đó:Đã khấu hao hết nhungvấn còn sử dụng,Trong đó:Đã khấu hao hết nhungvấn còn sử dụng,Trong đó:Đã khấu hao hết nhungvấn còn sử dụng,-,3.180.147.447,500.000.000,3.680.147.447,,3180147447.0,500000000.0,3680147447.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,750.904.584,3.873.873.470,610.166.672,5.234.944.726,750904584.0,3873873470.0,610166672.0,5234944726.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,55.495.524,566.171.654,38.000.005,659.667.183,55495524.0,566171654.0,38000005.0,659667183.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(50.000.000),(50.000.000),,,-50000000.0,-50000000.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,806.400.108,4.440.045.124,598.166.677,5.844.611.909,806400108.0,4440045124.0,598166677.0,5844611909.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,10.184.613.980,1.053.973.977,129.833.328,11.368.421.285,10184613980.0,1053973977.0,129833328.0,11368421285.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,10.129.118.456,1.207.352.323,91.833.323,11.428.304.102,10129118456.0,1207352323.0,91833323.0,11428304102.0
