row_label_raw,row_label_full,Số đầu năm,Số cuối năm > 54.580.752.569,Số đầu năm > 67.571.351.610,numeric__Số cuối năm > 54.580.752.569,numeric__Số đầu năm > 67.571.351.610
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,40.837.112.726,55.813.846.492,40837112726.0,55813846492.0
Tăng khác,Tăng khác,Tăng khác,187.328.727,-,187328727.0,
Chi quỹ trong năm,Chi quỹ trong năm,Chi quỹ trong năm,(47.948.932.068),(62.922.117.178),-47948932068.0,-62922117178.0
Hao mòn tài sản cố định phúc lợi,Hao mòn tài sản cố định phúc lợi,Hao mòn tài sản cố định phúc lợi,(68.544.647),-,-68544647.0,
Giảm khác,Giảm khác,Giảm khác,-,(5.882.328.355),,-5882328355.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,47.587.717.307,54.580.752.569,47587717307.0,54580752569.0
