row_label_raw,row_label_full,col_0,Sản xuất công nghiệp,Xây lắp,Lĩnh vực khác,Cộng,numeric__Sản xuất công nghiệp,numeric__Xây lắp,numeric__Lĩnh vực khác,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tài sản trực tiếp của bộ phận,Số cuối năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,10.636.818.097.692,13.331.480.155.758,430.769.420.578,24.399.067.674.028,10636818097692.0,13331480155758.0,430769420578.0,24399067674028.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,3.583.857.195.309,,,,3583857195309.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,27.982.924.869.337,,,,27982924869337.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,7.110.571.801.654,12.878.602.663.772,411.671.243.160,20.400.845.708.586,7110571801654.0,12878602663772.0,411671243160.0,20400845708586.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,20.400.845.708.586,,,,20400845708586.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tài sản trực tiếp của bộ phận,Số đầu năm > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,8.934.380.739.654,15.122.936.986.919,1.123.722.787.195,25.181.040.513.768,8934380739654.0,15122936986919.0,1123722787195.0,25181040513768.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,3.506.727.626.658,,,,3506727626658.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,28.687.768.140.426,,,,28687768140426.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,5.696.727.346.167,15.172.597.539.576,281.332.110.174,21.150.656.995.917,5696727346167.0,15172597539576.0,281332110174.0,21150656995917.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ theo bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,21.150.656.995.917,,,,21150656995917.0
