row_label_raw,row_label_full,Số đầu năm,Năm nay > 2.610.510.864,numeric__Năm nay > 2.610.510.864
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,1.091.307.983,1091307983.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(163.350.000),-163350000.0
Số cuối năm,Số cuối năm,Số cuối năm,3.538.468.847,3538468847.0
