row_label_raw,row_label_full,col_0,Vayngân hàng,Trái phiếu,Nợ thuê tài chínhdài hạn,Cộng,numeric__Vayngân hàng,numeric__Trái phiếu,numeric__Nợ thuê tài chínhdài hạn,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,6.248.962.768.545,1.146.531.178.832,8.128.750.000,7.403.622.697.377,6248962768545.0,1146531178832.0,8128750000.0,7403622697377.0
Số tiền vay phát sinhtrong năm,Số tiền vay phát sinhtrong năm,Số tiền vay phát sinhtrong năm,324.208.538.896,-,41.620.703.604,365.829.242.500,324208538896.0,,41620703604.0,365829242500.0
Lãi nhập gốc,Lãi nhập gốc,Lãi nhập gốc,1.726.603.847,-,-,1.726.603.847,1726603847.0,,,1726603847.0
Số tiền vay đã trả trongnăm,Số tiền vay đã trả trongnăm,Số tiền vay đã trả trongnăm,(1.462.542.000),-,(5.435.085.226),(6.897.627.226),-1462542000.0,,-5435085226.0,-6897627226.0
Số kết chuyển,Số kết chuyển,Số kết chuyển,(357.680.089.177),-,(19.124.373.039),(376.804.462.216),-357680089177.0,,-19124373039.0,-376804462216.0
Chênh lệch tỷ giá dođánh giá lại,Chênh lệch tỷ giá dođánh giá lại,Chênh lệch tỷ giá dođánh giá lại,(2.390.740.636),-,-,(2.390.740.636),-2390740636.0,,,-2390740636.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,101.373.696.271,-,-,101.373.696.271,101373696271.0,,,101373696271.0
Phân bổ chi phí pháthành trái phiếu,Phân bổ chi phí pháthành trái phiếu,Phân bổ chi phí pháthành trái phiếu,-,6.850.410.584,-,6.850.410.584,,6850410584.0,,6850410584.0
Mua lại trái phiếutrước hạn,Mua lại trái phiếutrước hạn,Mua lại trái phiếutrước hạn,-,(120.000.000.000),-,(120.000.000.000),,-120000000000.0,,-120000000000.0
Số cuối năm,Số cuối năm,Số cuối năm,6.314.738.235.745,1.033.381.589.416,25.189.995.339,7.373.309.820.501,6314738235745.0,1033381589416.0,25189995339.0,7373309820501.0
