row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số đầu năm,Số cuối năm_1,Số đầu năm_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Số cuối năm,numeric__Số đầu năm,numeric__Số cuối năm_1,numeric__Số đầu năm_1
1. Công ty Cổ phần Sông Đà 2 (*),1. Công ty Cổ phần Sông Đà 2 (*),1. Công ty Cổ phần Sông Đà 2 (*),"Km 10, đường Nguyễn Trãi, phường Văn Quán, quận Hà Đông, thành phố Hà Nội",Xây lắp,"40,77%","40,77%","40,77%","40,77%",,,0.4077,0.4077,0.4077,0.4077
2. Công ty Cổ phần Sông Đà 3,2. Công ty Cổ phần Sông Đà 3,2. Công ty Cổ phần Sông Đà 3,"Số 105 Đường Phạm Văn Đồng, Phường Thống Nhất, Thành phố Pleiku, Tĩnh Gia Lai",Xây lắp,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
3. Công ty Cổ phần Sông Đà 4,3. Công ty Cổ phần Sông Đà 4,3. Công ty Cổ phần Sông Đà 4,"Tầng 3, nhà TM, khu đô thị Văn Khê, phường La Khê, quận Hà Đông, thành phố Hà Nội",Xây lắp,"65,00%","65,00%","65,00%","65,00%",,,0.65,0.65,0.65,0.65
