row_label_raw,row_label_full,"Chi phí thanh lý, nhượng bán TSCĐ và giá trị còn lại của TSCĐ thanh lý, nhượng bán > Giá trị còn lại của tài sản giảm do cháy nổ trong năm - Thủy điện Nậm Mu",Năm nay > 112.327.047 > 5.149.439.092,Năm trước > -,numeric__Năm nay > 112.327.047 > 5.149.439.092,numeric__Năm trước > -
"Chi phí thanh lý công cụ, dụng cụ","Chi phí thanh lý công cụ, dụng cụ","Chi phí thanh lý công cụ, dụng cụ",52.999.924,598.176.398,52999924.0,598176398.0
"Tiền châm nộp thuế, bảo hiểm xã hội và các khoản khác","Tiền châm nộp thuế, bảo hiểm xã hội và các khoản khác","Tiền châm nộp thuế, bảo hiểm xã hội và các khoản khác",121.920.562.864,16.100.121.212,121920562864.0,16100121212.0
Thuế GTGT không được khấu trừ,Thuế GTGT không được khấu trừ,Thuế GTGT không được khấu trừ,813.639.162,-,813639162.0,
"Thuế TNDN, TNCN nộp bên Lào","Thuế TNDN, TNCN nộp bên Lào","Thuế TNDN, TNCN nộp bên Lào",697.965.653,3.371.359.856,697965653.0,3371359856.0
Phí y tế và bảo vệ công trình,Phí y tế và bảo vệ công trình,Phí y tế và bảo vệ công trình,-,1.268.262.933,,1268262933.0
Chi phí chuyển nhượng giảm phát thải,Chi phí chuyển nhượng giảm phát thải,Chi phí chuyển nhượng giảm phát thải,1.604.159.520,1.872.089.647,1604159520.0,1872089647.0
Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,Chi phí điều chỉnh sau quyết toán nhà máy Thủy điện Nậm Chiến,2.765.973.079,-,2765973079.0,
Chi phí khác,Chi phí khác,Chi phí khác,2.339.012.741,7.700.729.896,2339012741.0,7700729896.0
Cộng,Cộng,Cộng,135.456.079.082,30.910.739.942,135456079082.0,30910739942.0
