row_label_raw,row_label_full,col_0,Vayngân hàng,"Vay cáctổ chức,cá nhân khác",Vay dài hạnđến hạn trả,Nợ thuêtài chínhđến hạn trả,Cộng,numeric__Vayngân hàng,"numeric__Vay cáctổ chức,cá nhân khác",numeric__Vay dài hạnđến hạn trả,numeric__Nợ thuêtài chínhđến hạn trả,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,3.891.470.120.831,20.894.847.937,2.379.791.046.997,7.700.699.297,6.299.856.715.062,3891470120831.0,20894847937.0,2379791046997.0,7700699297.0,6299856715062.0
Số tiền vay phátsinh trong năm,Số tiền vay phátsinh trong năm,Số tiền vay phátsinh trong năm,4.682.670.736.784,13.838.875.343,-,-,4.696.509.612.127,4682670736784.0,13838875343.0,,,4696509612127.0
Số kết chuyển,Số kết chuyển,Số kết chuyển,-,3.210.700.766,354.469.388.411,19.124.373.039,376.804.462.216,,3210700766.0,354469388411.0,19124373039.0,376804462216.0
Lãi nhập gốc,Lãi nhập gốc,Lãi nhập gốc,-,229.786.650,-,-,229.786.650,,229786650.0,,,229786650.0
Chênh lệch tỷ giádo đánh giá lại,Chênh lệch tỷ giádo đánh giá lại,Chênh lệch tỷ giádo đánh giá lại,-,-,(6.258.362.247),-,(6.258.362.247),,,-6258362247.0,,-6258362247.0
Số tiền vay đã tràtrong năm,Số tiền vay đã tràtrong năm,Số tiền vay đã tràtrong năm,(4.944.213.833.477),(20.929.442.902),(872.360.062.746),(10.892.889.909),(5.848.396.229.034),-4944213833477.0,-20929442902.0,-872360062746.0,-10892889909.0,-5848396229034.0
Tăng giảm khác,Tăng giảm khác,Tăng giảm khác,(937.723.504),8.708.337.208,(201.095.294.236),-,(193.324.680.532),-937723504.0,8708337208.0,-201095294236.0,,-193324680532.0
Số cuối năm,Số cuối năm,Số cuối năm,3.628.989.300.634,25.953.105.002,1.654.546.716.179,15.932.182.427,5.325.421.304.242,3628989300634.0,25953105002.0,1654546716179.0,15932182427.0,5325421304242.0
