row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối năm
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,4.495.371.120.000,-,-,4.495.371.120.000,4495371120000.0,,,4495371120000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,121.567.440.382,-,-,121.567.440.382,121567440382.0,,,121567440382.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,20.998.948.125,-,1.652.468.160,19.346.479.965,20998948125.0,,1652468160.0,19346479965.0
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,(1.629.294.875.287),23.608.100.000,-,(1.605.686.775.287),-1629294875287.0,23608100000.0,,-1605686775287.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,242.940.292.010,-,9.398.190.477,233.542.101.533,242940292010.0,,9398190477.0,233542101533.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,749.636.060.130,17.263.415.329,-,766.899.475.459,749636060130.0,17263415329.0,,766899475459.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,6.798.115.744,-,-,6.798.115.744,6798115744.0,,,6798115744.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,916.981.352.886,123.690.140.507,-,1.040.671.493.393,916981352886.0,123690140507.0,,1040671493393.0
Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,Nguồn vốn đầu tư xây dựng cơ bản,9.749.706,-,-,9.749.706,9749706.0,,,9749706.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.612.068.345.216,-,108.542.980.957,2.503.525.364.259,2612068345216.0,,108542980957.0,2503525364259.0
Cộng,Cộng,Cộng,7.537.076.548.912,164.561.655.836,119.593.639.594,7.582.044.565.154,7537076548912.0,164561655836.0,119593639594.0,7582044565154.0
