row_label_raw,row_label_full,col_0,Số đầu năm,Tăng trong năm,Mua lại TSCĐ thuê tài chính,Khấu hao trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Mua lại TSCĐ thuê tài chính,numeric__Khấu hao trong năm,numeric__Số cuối năm
Nguyên giá,Nguyên giá,Nguyên giá,32.825.583.090,45.966.177.682,(6.165.583.090),-,72.626.177.682,32825583090.0,45966177682.0,-6165583090.0,,72626177682.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,11.664.187.851,-,(5.997.838.145),14.826.231.084,20.492.580.790,11664187851.0,,-5997838145.0,14826231084.0,20492580790.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,21.161.395.239,45.966.177.682,(167.744.945),(14.826.231.084),52.133.596.892,21161395239.0,45966177682.0,-167744945.0,-14826231084.0,52133596892.0
