row_label_raw,row_label_full,col_0,Nợ phải thu và cho vay ngắn hạn,Nợ phải thu và cho vay dài hạn,Cộng,numeric__Nợ phải thu và cho vay ngắn hạn,numeric__Nợ phải thu và cho vay dài hạn,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,346.413.759.578,10.014.756.325,356.428.515.903,346413759578.0,10014756325.0,356428515903.0
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,138.015.254.860,-,138.015.254.860,138015254860.0,,138015254860.0
Hoàn nhập dự phòng,Hoàn nhập dự phòng,Hoàn nhập dự phòng,(8.908.789.082),(10.014.756.325),(18.923.545.407),-8908789082.0,-10014756325.0,-18923545407.0
Xử lý công nợ phải thu khó đòi,Xử lý công nợ phải thu khó đòi,Xử lý công nợ phải thu khó đòi,(76.216.738),-,(76.216.738),-76216738.0,,-76216738.0
Số cuối năm,Số cuối năm,Số cuối năm,475.444.008.618,-,475.444.008.618,475444008618.0,,475444008618.0
