row_label_raw,row_label_full,Tên công ty,Vốn góp đến ngày 31/12/2019,"Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",Giá trị khoản đầu tư tại ngày 31/12/2019,numeric__Vốn góp đến ngày 31/12/2019,"numeric__Tăng, giảm giá trị đầu tư do hợp nhất theo phương pháp vốn chủ",numeric__Giá trị khoản đầu tư tại ngày 31/12/2019
Công ty Cổ phần Sông Đà 27,Công ty Cổ phần Sông Đà 27,Công ty Cổ phần Sông Đà 27,5.856.360.000,(5.856.360.000),-,5856360000.0,-5856360000.0,
Công ty CP Sông Đà 10.9,Công ty CP Sông Đà 10.9,Công ty CP Sông Đà 10.9,4.560.000.000,6.712.885.719,11.272.885.719,4560000000.0,6712885719.0,11272885719.0
Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,Công ty Cổ phần Sông Đà 12 - Nguyên Lộc,7.080.000.000,(1.506.473.535),5.573.526.465,7080000000.0,-1506473535.0,5573526465.0
Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,Công ty Cổ phần Năng lượng Someco 1,39.124.823.018,(1.733.643.111),37.391.179.907,39124823018.0,-1733643111.0,37391179907.0
Tổng cộng,Tổng cộng,Tổng cộng,56.621.183.018,(2.383.590.927),54.237.592.091,56621183018.0,-2383590927.0,54237592091.0
