row_label_raw,row_label_full,col_0,2015(Số năm),numeric__2015(Số năm)
Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,Nhà xưởng và vật kiến trúc,25,25.0
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 10,
Thiết bị quản lý,Thiết bị quản lý,Thiết bị quản lý,3 - 6,
Phương tiện vận tải,Thiết bị quản lý > Phương tiện vận tải,Phương tiện vận tải,6,6.0
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,3 - 5,
