row_label_raw,row_label_full,Chỉ tiêu,31/12/2014,Phát sinh trong năm > Số phải thu/nộp,Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,31/12/2015,numeric__31/12/2014,numeric__Phát sinh trong năm > Số phải thu/nộp,numeric__Phát sinh trong năm > Số đã thu/nộp hoặc bù trừ,numeric__31/12/2015
,,,VND,VND,VND,VND,,,,
a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,a) Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a) Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,19.431.485.311,-,9.987.055.683,9.444.429.628,19431485311.0,,9987055683.0,9444429628.0
Các loại thuế khác,a) Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,91.345.011,183.636.722,202.359.199,72.622.534,91345011.0,183636722.0,202359199.0,72622534.0
Cộng,a) Các khoản phải thu > Cộng,Cộng,19.522.830.322,183.636.722,10.189.414.882,9.517.052.162,19522830322.0,183636722.0,10189414882.0,9517052162.0
b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,b) Các khoản phải trả,,,,
Thuế giá trị gia tăng,b) Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,13.133.027.471,355.049.714.712,351.091.030.070,17.091.712.113,13133027471.0,355049714712.0,351091030070.0,17091712113.0
- Thuế GTGT đầu ra,b) Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,13.099.620.518,214.179.639.899,210.187.548.304,17.091.712.113,13099620518.0,214179639899.0,210187548304.0,17091712113.0
- Thuế GTGT hàng nhập khẩu,b) Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,33.406.953,140.870.074.813,140.903.481.766,-,33406953.0,140870074813.0,140903481766.0,
Thuế nhập khẩu,b) Các khoản phải trả > Thuế nhập khẩu,Thuế nhập khẩu,226.000,14.882.197.165,14.882.138.378,284.787,226000.0,14882197165.0,14882138378.0,284787.0
Thuế thu nhập doanh nghiệp,b) Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,47.925.538.748,235.036.725.541,196.082.948.641,86.879.315.648,47925538748.0,235036725541.0,196082948641.0,86879315648.0
Các loại thuế khác,b) Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,3.551.867.049,39.285.207.829,39.428.102.494,3.408.972.384,3551867049.0,39285207829.0,39428102494.0,3408972384.0
Thuế môn bài,b) Các khoản phải trả > Thuế môn bài,Thuế môn bài,-,135.500.000,135.500.000,,,135500000.0,135500000.0,
Thuế thu nhập cá nhân,b) Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.035.061.019,33.541.681.318,32.483.867.290,3.092.875.047,2035061019.0,33541681318.0,32483867290.0,3092875047.0
Thuế khác,b) Các khoản phải trả > Thuế khác,Thuế khác,1.516.806.030,5.608.026.511,6.808.735.204,316.097.337,1516806030.0,5608026511.0,6808735204.0,316097337.0
Các khoản phải nộp khác,b) Các khoản phải trả > Các khoản phải nộp khác,Các khoản phải nộp khác,-,173.059.211,173.059.211,-,,173059211.0,173059211.0,
Cộng,b) Các khoản phải trả > Cộng,Cộng,64.610.659.268,644.426.904.458,601.657.278.794,107.380.284.932,64610659268.0,644426904458.0,601657278794.0,107380284932.0
