row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,31/12/2014Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014Phân loại lại
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,4.069.827.522.316,2.519.425.613.050,100.0,,4069827522316.0,2519425613050.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,735.084.146.290,1.056.467.108.945,110.0,5.0,735084146290.0,1056467108945.0
1. Tiền,1. Tiền,1. Tiền,111,,89.165.478.784,85.356.468.927,111.0,,89165478784.0,85356468927.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,645.918.667.506,971.110.640.018,112.0,,645918667506.0,971110640018.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,1.065.618.640.271,11.946.730.000,120.0,6.0,1065618640271.0,11946730000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,1.065.618.640.271,11.946.730.000,123.0,,1065618640271.0,11946730000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,994.443.714.741,629.259.481.054,130.0,,994443714741.0,629259481054.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,1.105.558.992.502,740.427.032.138,131.0,,1105558992502.0,740427032138.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,38.173.919.833,39.867.524.006,132.0,,38173919833.0,39867524006.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,7,52.653.328.211,13.965.953.019,136.0,7.0,52653328211.0,13965953019.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,,(201.942.525.805),(165.001.028.109),137.0,,-201942525805.0,-165001028109.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,9,505.586.733.297,264.580.219.314,140.0,9.0,505586733297.0,264580219314.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,505.586.733.297,264.580.219.314,141.0,,505586733297.0,264580219314.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,769.094.287.717,557.172.073.737,150.0,,769094287717.0,557172073737.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,10,694.160.634.766,481.207.982.234,151.0,10.0,694160634766.0,481207982234.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,65.416.600.789,56.441.261.181,152.0,,65416600789.0,56441261181.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,11,9.517.052.162,19.522.830.322,153.0,11.0,9517052162.0,19522830322.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.893.984.394.298,2.622.411.717.862,200.0,,3893984394298.0,2622411717862.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,4.517.163.833,2.761.683.184,210.0,,4517163833.0,2761683184.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,,5.995.509.424,2.761.683.184,216.0,,5995509424.0,2761683184.0
2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,219,,(1.478.345.591),-,219.0,,-1478345591.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.093.536.634.223,2.158.625.095.442,220.0,,3093536634223.0,2158625095442.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,2.932.247.837.849,1.994.356.872.831,221.0,12.0,2932247837849.0,1994356872831.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,5.331.305.627.432,3.873.163.552.729,222.0,,5331305627432.0,3873163552729.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(2.399.057.789.583),(1.878.806.679.898),223.0,,-2399057789583.0,-1878806679898.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,161.288.796.374,164.268.222.611,227.0,13.0,161288796374.0,164268222611.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,260.956.804.541,246.771.901.537,228.0,,260956804541.0,246771901537.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(99.668.008.167),(82.503.678.926),229.0,,-99668008167.0,-82503678926.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,217.795.128.330,180.863.190.313,240.0,,217795128330.0,180863190313.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,217.795.128.330,180.863.190.313,242.0,14.0,217795128330.0,180863190313.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,7.352.439.050,10.704.588.541,250.0,,7352439050.0,10704588541.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,6,-,1.747.897.360,252.0,6.0,,1747897360.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,6,11.040.000.000,8.956.691.181,253.0,6.0,11040000000.0,8956691181.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,6,(3.687.560.950),-,254.0,6.0,-3687560950.0,
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,532.256.380.894,225.378.217.618,260.0,,532256380894.0,225378217618.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,10,352.740.507.591,123.334.861.950,261.0,10.0,352740507591.0,123334861950.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,179.515.873.303,102.043.355.668,262.0,,179515873303.0,102043355668.0
VI. Lợi thế thương mại,VI. Lợi thế thương mại,VI. Lợi thế thương mại,269,,38.526.647.968,44.078.942.764,269.0,,38526647968.0,44078942764.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,7.963.811.916.614,5.141.837.330.912,270.0,,7963811916614.0,5141837330912.0
