row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 31/12/2014VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 31/12/2014VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,735.084.146.290,1.056.467.108.945,735084146290.0,1056467108945.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.065.618.640.271,11.946.730.000,1065618640271.0,11946730000.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,954.760.693.933,588.669.928.729,954760693933.0,588669928729.0
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,7.352.439.050,10.704.588.541,7352439050.0,10704588541.0
Tài sản tài chính khác,Tài sản tài chính > Tài sản tài chính khác,Tài sản tài chính khác,5.995.509.424,2.761.683.184,5995509424.0,2761683184.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,2.768.811.428.968,1.670.550.039.399,2768811428968.0,1670550039399.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,2.105.322.715.562,698.800.278.325,2105322715562.0,698800278325.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.218.469.388.407,850.268.918.326,1218469388407.0,850268918326.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,325.986.851.472,315.669.385.105,325986851472.0,315669385105.0
Công nợ tài chính khác,Công nợ tài chính > Công nợ tài chính khác,Công nợ tài chính khác,404.134.497,97.920.000,404134497.0,97920000.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,3.650.183.089.938,1.864.836.501.756,3650183089938.0,1864836501756.0
