row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,154.393.710.565,3.066.818.257.323,52.313.136.564,571.471.504.314,28.166.943.963,3.873.163.552.729,154393710565.0,3066818257323.0,52313136564.0,571471504314.0,28166943963.0,3873163552729.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,(72.065.000),1.401.298.526.828,2.256.921.819,11.893.906.926,56.224.794.611,1.471.602.085.184,-72065000.0,1401298526828.0,2256921819.0,11893906926.0,56224794611.0,1471602085184.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,225.494.000,1.389.444.154.739,2.256.921.819,11.000.036.775,56.224.794.611,1.459.151.401.944,225494000.0,1389444154739.0,2256921819.0,11000036775.0,56224794611.0,1459151401944.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,10.751.267.443,-,-,-,10.751.267.443,,10751267443.0,,,,10751267443.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(297.559.000),-,-,297.559.000,-,-,-297559000.0,,,297559000.0,,
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,1.103.104.646,-,596.311.151,-,1.699.415.797,,1103104646.0,,596311151.0,,1699415797.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,6.387.212.582,573.918.727,6.498.879.172,-,13.460.010.481,,6387212582.0,573918727.0,6498879172.0,,13460010481.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,6.387.212.582,573.918.727,6.498.879.172,-,13.460.010.481,,6387212582.0,573918727.0,6498879172.0,,13460010481.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,154.321.645.565,4.461.729.571.569,53.996.139.656,576.866.532.068,84.391.738.574,5.331.305.627.432,154321645565.0,4461729571569.0,53996139656.0,576866532068.0,84391738574.0,5331305627432.0
