row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Lợi nhuận sau thuế chưa phân phối,Tổng,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,997.015.350.000,7.652.995.729,(275.150.000),532.093.510.763,1.536.486.706.492,125.641.773.695,1.662.128.480.187,997015350000.0,7652995729.0,-275150000.0,532093510763.0,1536486706492.0,125641773695.0,1662128480187.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,249.182.740.000,-,-,(249.182.740.000),-,-,-,249182740000.0,,,-249182740000.0,,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,736.436.936.971,736.436.936.971,26.597.929.127,763.034.866.098,,,,736436936971.0,736436936971.0,26597929127.0,763034866098.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(25.000.000),-,(25.000.000),-,(25.000.000),,,-25000000.0,,-25000000.0,,-25000000.0
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(73.382.904.122),(73.382.904.122),(2.800.429.429),(76.183.333.551),,,,-73382904122.0,-73382904122.0,-2800429429.0,-76183333551.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,-,-,-,8.560.199.804,8.560.199.804,9.035.015.508,17.595.215.312,,,,8560199804.0,8560199804.0,9035015508.0,17595215312.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(365.640.191),(365.640.191),-,(365.640.191),,,,-365640191.0,-365640191.0,,-365640191.0
Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,Số dư tại ngày 01/01/2015,1.246.198.090.000,7.652.995.729,(300.150.000),954.159.363.225,2.207.710.298.954,158.474.288.901,2.366.184.587.855,1246198090000.0,7652995729.0,-300150000.0,954159363225.0,2207710298954.0,158474288901.0,2366184587855.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,827.701.610.355,827.701.610.355,54.371.121.124,882.072.731.479,,,,827701610355.0,827701610355.0,54371121124.0,882072731479.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(373.769.382.000),(373.769.382.000),(19.993.529.500),(393.762.911.500),,,,-373769382000.0,-373769382000.0,-19993529500.0,-393762911500.0
"Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi","Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(85.603.602.749),(85.603.602.749),(5.322.621.574),(90.926.224.323),,,,-85603602749.0,-85603602749.0,-5322621574.0,-90926224323.0
Thoái vốn tại công ty liên kết,Thoái vốn tại công ty liên kết,Thoái vốn tại công ty liên kết,-,-,-,(2.582.305.961),(2.582.305.961),-,(2.582.305.961),,,,-2582305961.0,-2582305961.0,,-2582305961.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,(4.827.340.625),(4.827.340.625),(193.411.447),(5.020.752.072),,,,-4827340625.0,-4827340625.0,-193411447.0,-5020752072.0
Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,Số dư tại ngày 31/12/2015,1.246.198.090.000,7.652.995.729,(300.150.000),1.315.078.342.245,2.568.629.277.974,187.335.847.504,2.755.965.125.478,1246198090000.0,7652995729.0,-300150000.0,1315078342245.0,2568629277974.0,187335847504.0,2755965125478.0
