row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,2015,2014 Phân loại lại,numeric__Mã số,numeric__Thuyết minh,numeric__2015,numeric__2014 Phân loại lại
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,24,5.580.401.055.231,4.835.687.602.233,1.0,24.0,5580401055231.0,4835687602233.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,24,12.660.258.636,10.607.253.292,2.0,24.0,12660258636.0,10607253292.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.567.740.796.595,4.825.080.348.941,10.0,,5567740796595.0,4825080348941.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,25,2.919.474.384.643,2.597.160.543.041,11.0,25.0,2919474384643.0,2597160543041.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.648.266.411.952,2.227.919.805.900,20.0,,2648266411952.0,2227919805900.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,27,65.549.140.411,57.446.621.874,21.0,27.0,65549140411.0,57446621874.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,28,84.873.618.113,18.856.145.093,22.0,28.0,84873618113.0,18856145093.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,66.726.228.145,15.117.378.136,23.0,,66726228145.0,15117378136.0
"8. Phần lỗ trong công ty liên doanh, liên kết","8. Phần lỗ trong công ty liên doanh, liên kết","8. Phần lỗ trong công ty liên doanh, liên kết",24,,-,(3.292.102.640),24.0,,,-3292102640.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,,530.325.251.116,364.039.942.444,25.0,,530325251116.0,364039942444.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,,1.063.831.278.614,983.048.456.653,26.0,,1063831278614.0,983048456653.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,1.034.785.404.520,916.129.780.944,30.0,,1034785404520.0,916129780944.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,,8.684.601.280,23.105.307.553,31.0,,8684601280.0,23105307553.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,,3.123.269.736,8.843.299.901,32.0,,3123269736.0,8843299901.0
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,,5.561.331.544,14.262.007.652,40.0,,5561331544.0,14262007652.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.040.346.736.064,930.391.788.596,50.0,,1040346736064.0,930391788596.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,29,235.036.725.541,188.946.958.717,51.0,29.0,235036725541.0,188946958717.0
17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,29,(76.762.720.956),(21.590.036.219),52.0,29.0,-76762720956.0,-21590036219.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,882.072.731.479,763.034.866.098,60.0,,882072731479.0,763034866098.0
18.1. Lợi nhuận sau thuế của công ty mẹ,18.1. Lợi nhuận sau thuế của công ty mẹ,18.1. Lợi nhuận sau thuế của công ty mẹ,61,,827.701.610.355,736.436.936.971,61.0,,827701610355.0,736436936971.0
18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,54.371.121.124,26.597.929.127,62.0,,54371121124.0,26597929127.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,30,5.956,5.322,70.0,30.0,5956.0,5322.0
