row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRÀ,300,,7.025.822.134.882,4.398.349.962.439,,300.0,,7025822134882.0,4398349962439.0
I.,I.,I.,Nợ ngắn hạn,310,,6.858.106.690.364,4.293.351.186.979,,310.0,,6858106690364.0,4293351186979.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,,1.408.769.529.982,1.125.220.217.828,,311.0,,1408769529982.0,1125220217828.0
2.,2.,2.,Thuế và các khoản phải nộp Nhà nước,313,10,46.824.598.674,44.150.043.391,,313.0,10.0,46824598674.0,44150043391.0
3.,3.,3.,Phải trả người lao động,314,,95.288.336.426,517.878.918,,314.0,,95288336426.0,517878918.0
4.,4.,4.,Chỉ phí phải trả ngắn hạn,315,13,472.636.961.584,614.050.952.842,,315.0,13.0,472636961584.0,614050952842.0
5.,5.,5.,Doanh thu chưa thực hiện ngắn hạn,318,,1.071.954.027.965,878.130.836.087,,318.0,,1071954027965.0,878130836087.0
6.,6.,6.,Phải trả ngắn hạn khác,319,,236.446.953.746,417.562.402.171,,319.0,,236446953746.0,417562402171.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,14,3.362.087.529.178,1.103.126.785.160,,320.0,14.0,3362087529178.0,1103126785160.0
8.,8.,8.,"Quỹ khen thưởng, phúc lợi",322,,164.098.752.809,110.592.070.582,,322.0,,164098752809.0,110592070582.0
II.,II.,II.,Nợ dài hạn,330,,167.715.444.518,104.998.775.460,,330.0,,167715444518.0,104998775460.0
1.,1.,1.,Vay và nợ thuê tài chính dài hạn,338,15,167.715.444.518,104.998.775.460,,338.0,15.0,167715444518.0,104998775460.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,3.400.566.474.391,2.765.857.692.720,,400.0,,3400566474391.0,2765857692720.0
I.,I.,I.,Vốn chủ sở hữu,410,17,3.400.566.474.391,2.765.857.692.720,,410.0,17.0,3400566474391.0,2765857692720.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,2.261.597.240.000,1.507.832.590.000,,411.0,,2261597240000.0,1507832590000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.261.597.240.000,1.507.832.590.000,,,,2261597240000.0,1507832590000.0
2.,2.,2.,Cổ phiếu quỹ,415,,(300.150.000),(300.150.000),,415.0,,-300150000.0,-300150000.0
3.,3.,3.,Quỹ đầu tư phát triển,418,,389.798.534.033,246.879.179.072,,418.0,,389798534033.0,246879179072.0
4.,4.,4.,Lợi nhuận sau thuế chưa phân phối,421,,749.470.850.358,1.011.446.073.648,,421.0,,749470850358.0,1011446073648.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối nằm trước,421a,,251.128.804.703,883.697.315.680,,,,251128804703.0,883697315680.0
4.,4.,4.,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,498.342.045.655,127.748.757.968,,,,498342045655.0,127748757968.0
