row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.370.786.090.000,(300.150.000),131.972.384.482,1.157.419.460.793,2.659.877.785.275,1370786090000.0,-300150000.0,131972384482.0,1157419460793.0,2659877785275.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,771.519.814.285,771.519.814.285,,,,771519814285.0,771519814285.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(589.308.326.000),(589.308.326.000),,,,-589308326000.0,-589308326000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,137.046.500.000,-,-,(137.046.500.000),-,137046500000.0,,,-137046500000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,114.906.794.590,(114.906.794.590),-,,,114906794590.0,-114906794590.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(76.604.529.727),(76.604.529.727),,,,-76604529727.0,-76604529727.0
Lợi nhuận thu được từ giải thể công ty con,Lợi nhuận thu được từ giải thể công ty con,Lợi nhuận thu được từ giải thể công ty con,-,-,-,4.768.876.599,4.768.876.599,,,,4768876599.0,4768876599.0
Biển động khác,Biển động khác,Biển động khác,-,-,-,(4.395.927.712),(4.395.927.712),,,,-4395927712.0,-4395927712.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.507.832.590.000,(300.150.000),246.879.179.072,1.011.446.073.648,2.765.857.692.720,1507832590000.0,-300150000.0,246879179072.0,1011446073648.0,2765857692720.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,962.670.679.590,962.670.679.590,,,,962670679590.0,962670679590.0
Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,Chia cổ tức bằng tiền mặt,-,-,-,(226.129.709.000),(226.129.709.000),,,,-226129709000.0,-226129709000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,753.764.650.000,-,-,(753.764.650.000),-,753764650000.0,,,-753764650000.0,
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,142.919.354.961,(142.919.354.961),-,,,142919354961.0,-142919354961.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(95.279.569.974),(95.279.569.974),,,,-95279569974.0,-95279569974.0
Biển động khác,Biển động khác,Biển động khác,-,-,-,(6.552.618.945),(6.552.618.945),,,,-6552618945.0,-6552618945.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.261.597.240.000,(300.150.000),389.798.534.033,749.470.850.358,3.400.566.474.391,2261597240000.0,-300150000.0,389798534033.0,749470850358.0,3400566474391.0
