row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp /thu trong năm,Số đã thực nộp/thu /được khẩu trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp /thu trong năm,numeric__Số đã thực nộp/thu /được khẩu trừ trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,490.062.815,8.744.915.486,9.234.978.301,-,490062815.0,8744915486.0,9234978301.0,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,106.015.310.120,-,96.571.217.330,9.444.092.790,106015310120.0,,96571217330.0,9444092790.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,89.763.287,458.085.285,472.853.441,74.995.131,89763287.0,458085285.0,472853441.0,74995131.0
,,,106.595.136.222,9.203.000.771,106.279.049.072,9.519.087.921,106595136222.0,9203000771.0,106279049072.0,9519087921.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,12.957.289.110,402.769.316.671,405.112.021.969,10.614.583.812,12957289110.0,402769316671.0,405112021969.0,10614583812.0
- Thuế GTGT đầu ra,b. Các khoản phải trả > - Thuế GTGT đầu ra,- Thuế GTGT đầu ra,12.957.289.110,243.983.547.411,246.326.252.709,10.614.583.812,12957289110.0,243983547411.0,246326252709.0,10614583812.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,158.785.769.260,158.785.769.260,-,,158785769260.0,158785769260.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,13.949.333.207,13.949.333.207,-,,13949333207.0,13949333207.0,
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,27.997.076.541,182.372.389.607,176.552.721.504,33.816.744.644,27997076541.0,182372389607.0,176552721504.0,33816744644.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,3.195.677.740,62.916.784.237,63.719.191.759,2.393.270.218,3195677740.0,62916784237.0,63719191759.0,2393270218.0
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,211.000.000,211.000.000,-,,211000000.0,211000000.0,
- Thuế thu nhập cá nhân,b. Các khoản phải trả > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,2.957.158.895,50.462.612.200,51.169.470.680,2.250.300.415,2957158895.0,50462612200.0,51169470680.0,2250300415.0
- Thuế khác,b. Các khoản phải trả > - Thuế khác,- Thuế khác,238.518.845,12.243.172.037,12.338.721.079,142.969.803,238518845.0,12243172037.0,12338721079.0,142969803.0
,,,44.150.043.391,662.007.823.722,659.333.268.439,46.824.598.674,44150043391.0,662007823722.0,659333268439.0,46824598674.0
