row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận tải VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,61.310.360.281,5.296.130.832.467,265.004.835.725,12.104.434.852,5.634.550.463.325,61310360281.0,5296130832467.0,265004835725.0,12104434852.0,5634550463325.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,7.482.422.565,1.429.054.098.973,13.294.144.479,1.674.628.400,1.451.505.294.417,7482422565.0,1429054098973.0,13294144479.0,1674628400.0,1451505294417.0
Tăng do mua sắm,NGUYÊN GIÁ > Tăng do mua sắm,Tăng do mua sắm,7.006.148.019,1.411.155.692.317,8.121.998.145,1.674.628.400,1.427.958.466.881,7006148019.0,1411155692317.0,8121998145.0,1674628400.0,1427958466881.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,476.274.546,18.036.093.450,-,-,18.512.367.996,476274546.0,18036093450.0,,,18512367996.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(137.686.794),-,-,(137.686.794),,-137686794.0,,,-137686794.0
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,-,5.172.146.334,-,5.172.146.334,,,5172146334.0,,5172146334.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,22.441.470.724,614.971.112.786,4.211.762.837,651.501.268,642.275.847.615,22441470724.0,614971112786.0,4211762837.0,651501268.0,642275847615.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",22.441.470.724,-,1.376.115.363,651.501.268,24.469.087.355,22441470724.0,,1376115363.0,651501268.0,24469087355.0
Thu hồi nhập kho,NGUYÊN GIÁ > Thu hồi nhập kho,Thu hồi nhập kho,-,614.971.112.786,2.835.647.474,-,617.806.760.260,,614971112786.0,2835647474.0,,617806760260.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,46.351.312.122,6.110.213.818.654,274.087.217.367,13.127.561.984,6.443.779.910.127,46351312122.0,6110213818654.0,274087217367.0,13127561984.0,6443779910127.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,21.490.965.831,2.435.975.229.616,199.083.833.009,7.763.722.182,2.664.313.750.638,21490965831.0,2435975229616.0,199083833009.0,7763722182.0,2664313750638.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,1.935.150.399,776.654.326.015,23.678.834.787,1.275.871.246,803.544.182.447,1935150399.0,776654326015.0,23678834787.0,1275871246.0,803544182447.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.935.150.399,776.794.579.876,19.191.107.712,1.275.871.246,799.196.709.233,1935150399.0,776794579876.0,19191107712.0,1275871246.0,799196709233.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(140.253.861),2.567.067,-,(137.686.794),,-140253861.0,2567067.0,,-137686794.0
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,-,-,4.485.160.008,-,4.485.160.008,,,4485160008.0,,4485160008.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,8.785.847.020,360.305.541.701,3.888.911.582,651.501.268,373.631.801.571,8785847020.0,360305541701.0,3888911582.0,651501268.0,373631801571.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",8.785.847.020,-,1.376.115.363,651.501.268,10.813.463.651,8785847020.0,,1376115363.0,651501268.0,10813463651.0
Thu hồi nhập kho,GIÁ TRỊ HAO MÒN LỦY KẾ > Thu hồi nhập kho,Thu hồi nhập kho,-,360.305.541.701,2.512.796.219,-,362.818.337.920,,360305541701.0,2512796219.0,,362818337920.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,14.640.269.210,2.852.324.013.930,218.873.756.214,8.388.092.160,3.094.226.131.514,14640269210.0,2852324013930.0,218873756214.0,8388092160.0,3094226131514.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,39.819.394.450,2.860.155.602.851,65.921.002.716,4.340.712.670,2.970.236.712.687,39819394450.0,2860155602851.0,65921002716.0,4340712670.0,2970236712687.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,31.711.042.912,3.257.889.804.724,55.213.461.153,4.739.469.824,3.349.553.778.613,31711042912.0,3257889804724.0,55213461153.0,4739469824.0,3349553778613.0
