row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,Tổng doanh thu bán hàng và cung cấp dịch vụ,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Doanh thu bán hàng,Trong đó: > - Doanh thu bán hàng,- Doanh thu bán hàng,138.265.949.582,61.863.434.849,138265949582.0,61863434849.0
- Doanh thu cung cấp dịch vụ,Trong đó: > - Doanh thu cung cấp dịch vụ,- Doanh thu cung cấp dịch vụ,6.981.097.364.247,6.080.600.986.590,6981097364247.0,6080600986590.0
,,,7.119.363.313.829,6.142.464.421.439,7119363313829.0,6142464421439.0
Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 27),Trong đó: > Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 27),Doanh thu với các bên liên quan(chỉ tiết tại Thuyết minh số 27),769.286.929.562,673.630.486.731,769286929562.0,673630486731.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,(16.698.874.908),(11.432.772.118),-16698874908.0,-11432772118.0
,,,(16.698.874.908),(11.432.772.118),-16698874908.0,-11432772118.0
