row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,5.734.519.173.084,3.190.940.813.921,,100.0,,5734519173084.0,3190940813921.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,90.125.861.942,59.979.172.247,,110.0,4.0,90125861942.0,59979172247.0
1.,1.,1.,Tiền,111,,87.092.364.646,55.325.309.413,,111.0,,87092364646.0,55325309413.0
2.,2.,2.,Các khoản tương đương tiền,112,,3.033.497.296,4.653.862.834,,112.0,,3033497296.0,4653862834.0
II.,II.,II.,Các khoản phải thu ngắn hạn,130,,4.009.388.607.190,1.872.978.439.888,,130.0,,4009388607190.0,1872978439888.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,,902.982.918.255,852.048.093.269,,131.0,,902982918255.0,852048093269.0
2.,2.,2.,Trà trước cho người bán ngắn hạn,132,,12.520.007.131,11.394.859.912,,132.0,,12520007131.0,11394859912.0
3.,3.,3.,Phải thu ngắn hạn khác,136,6,3.236.456.640.908,1.107.195.038.830,,136.0,6.0,3236456640908.0,1107195038830.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,7,(142.570.959.104),(97.659.552.123),,137.0,7.0,-142570959104.0,-97659552123.0
III.,III.,III.,Hàng tồn kho,140,8,781.468.960.950,489.540.611.081,,140.0,8.0,781468960950.0,489540611081.0
1.,1.,1.,Hàng tồn kho,141,,812.670.576.044,489.540.611.081,,141.0,,812670576044.0,489540611081.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(31.201.615.094),-,,149.0,,-31201615094.0,
IV.,IV.,IV.,Tài sản ngắn hạn khác,150,,853.535.743.002,768.442.590.705,,150.0,,853535743002.0,768442590705.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,9,816.145.049.381,643.952.358.241,,151.0,9.0,816145049381.0,643952358241.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,27.871.605.700,17.895.096.242,,152.0,,27871605700.0,17895096242.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,10,9.519.087.921,106.595.136.222,,153.0,10.0,9519087921.0,106595136222.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,4.691.869.436.189,3.973.266.841.238,,200.0,,4691869436189.0,3973266841238.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,4.450.039.995,3.310.171.784,,210.0,,4450039995.0,3310171784.0
1.,1.,1.,Phải thu dài hạn khác,216,,4.450.039.995,3.310.171.784,,216.0,,4450039995.0,3310171784.0
II.,II.,II.,Tài sản cố định,220,,3.931.076.736.215,3.323.050.682.963,,220.0,,3931076736215.0,3323050682963.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,3.349.553.778.613,2.970.236.712.687,,221.0,11.0,3349553778613.0,2970236712687.0
,,,- Nguyên giá,222,,6.443.779.910.127,5.634.550.463.325,,222.0,,6443779910127.0,5634550463325.0
,,,- Giá trị hao mòn lũy kẽ,223,,(3.094.226.131.514),(2.664.313.750.638),,223.0,,-3094226131514.0,-2664313750638.0
2.,2.,2.,Tài sản cố định vô hình,227,12,581.522.957.602,352.813.970.276,,227.0,12.0,581522957602.0,352813970276.0
,,,- Nguyên giá,228,,787.844.330.206,510.039.769.058,,228.0,,787844330206.0,510039769058.0
,,,- Giá trị hao mòn lũy kẽ,229,,(206.321.372.604),(157.225.798.782),,229.0,,-206321372604.0,-157225798782.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,32.276.872.911,17.129.232.145,,240.0,,32276872911.0,17129232145.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,32.276.872.911,17.129.232.145,,242.0,,32276872911.0,17129232145.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,5,264.226.317.955,261.815.986.544,,250.0,5.0,264226317955.0,261815986544.0
1.,1.,1.,Đầu tư vào công ty con,251,,258.226.317.955,258.226.317.955,,251.0,,258226317955.0,258226317955.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,,6.000.000.000,6.000.000.000,,253.0,,6000000000.0,6000000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,,-,(2.410.331.411),,254.0,,,-2410331411.0
V.,V.,V.,Tài sản dài hạn khác,260,,459.839.469.113,367.960.767.802,,260.0,,459839469113.0,367960767802.0
1.,1.,1.,Chi phí trả trước dài hạn,261,9,459.839.469.113,346.228.269.075,,261.0,9.0,459839469113.0,346228269075.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,,-,21.732.498.727,,262.0,,,21732498727.0
,,,TỔNG CÔNG TÀI SẢN (270=100+200),270,,10.426.388.609.273,7.164.207.655.159,,270.0,,10426388609273.0,7164207655159.0
